SRC_middle Query: Medium,Depth,# Hops,BBoxes,Data Size
"[15, 13, 21, 19]",2,2,"[8, 8, 24, 24]",256
"[5, 19, 11, 25]",3,3,"[4, 16, 12, 32]",128
"[14, 6, 20, 12]",4,4,"[12, 4, 20, 12]",64
"[8, 24, 14, 30]",4,4,"[8, 24, 16, 32]",64
"[13, 20, 19, 26]",4,4,"[12, 20, 20, 28]",64
"[26, 13, 32, 19]",4,4,"[24, 12, 32, 20]",64
"[15, 1, 21, 7]",2,2,"[8, 0, 24, 16]",256
"[10, 25, 16, 31]",4,4,"[8, 24, 16, 32]",64
"[15, 10, 21, 16]",2,2,"[8, 8, 24, 24]",256
"[20, 1, 26, 7]",4,4,"[20, 0, 28, 8]",64
"[10, 15, 16, 21]",3,3,"[8, 8, 16, 24]",128
"[11, 20, 17, 26]",2,2,"[8, 16, 24, 32]",256
"[20, 14, 26, 20]",4,4,"[20, 12, 28, 20]",64
"[2, 2, 8, 8]",4,4,"[0, 0, 8, 8]",64
"[26, 23, 32, 29]",3,3,"[24, 16, 32, 32]",128
"[17, 9, 23, 15]",4,4,"[16, 8, 24, 16]",64
"[20, 9, 26, 15]",4,4,"[20, 8, 28, 16]",64
"[19, 13, 25, 19]",2,2,"[16, 8, 32, 24]",256
"[10, 20, 16, 26]",4,4,"[8, 20, 16, 28]",64
"[20, 14, 26, 20]",4,4,"[20, 12, 28, 20]",64
"[3, 11, 9, 17]",2,2,"[0, 8, 16, 24]",256
"[21, 14, 27, 20]",4,4,"[20, 12, 28, 20]",64
"[20, 13, 26, 19]",4,4,"[20, 12, 28, 20]",64
"[17, 1, 23, 7]",4,4,"[16, 0, 24, 8]",64
"[12, 17, 18, 23]",4,4,"[12, 16, 20, 24]",64
"[11, 20, 17, 26]",2,2,"[8, 16, 24, 32]",256
"[0, 11, 6, 17]",3,3,"[0, 8, 8, 24]",128
"[24, 0, 30, 6]",4,4,"[24, 0, 32, 8]",64
"[18, 15, 24, 21]",3,3,"[16, 8, 24, 24]",128
"[16, 19, 22, 25]",3,3,"[16, 16, 24, 32]",128
"[13, 7, 19, 13]",3,3,"[12, 0, 20, 16]",128
"[21, 22, 27, 28]",4,4,"[20, 20, 28, 28]",64
"[1, 9, 7, 15]",4,4,"[0, 8, 8, 16]",64
"[16, 25, 22, 31]",4,4,"[16, 24, 24, 32]",64
"[17, 6, 23, 12]",4,4,"[16, 4, 24, 12]",64
"[19, 17, 25, 23]",2,2,"[16, 8, 32, 24]",256
"[6, 21, 12, 27]",4,4,"[4, 20, 12, 28]",64
"[3, 16, 9, 22]",2,2,"[0, 8, 16, 24]",256
"[12, 3, 18, 9]",3,3,"[12, 0, 20, 16]",128
"[17, 1, 23, 7]",4,4,"[16, 0, 24, 8]",64
"[8, 10, 14, 16]",4,4,"[8, 8, 16, 16]",64
"[10, 1, 16, 7]",4,4,"[8, 0, 16, 8]",64
"[14, 21, 20, 27]",4,4,"[12, 20, 20, 28]",64
"[23, 24, 29, 30]",2,2,"[16, 16, 32, 32]",256
"[4, 16, 10, 22]",4,4,"[4, 16, 12, 24]",64
"[18, 0, 24, 6]",4,4,"[16, 0, 24, 8]",64
"[19, 20, 25, 26]",2,2,"[16, 16, 32, 32]",256
"[25, 19, 31, 25]",3,3,"[24, 16, 32, 32]",128
"[19, 13, 25, 19]",2,2,"[16, 8, 32, 24]",256
"[8, 15, 14, 21]",3,3,"[8, 8, 16, 24]",128
"[8, 19, 14, 25]",3,3,"[8, 16, 16, 32]",128
"[23, 17, 29, 23]",2,2,"[16, 8, 32, 24]",256
"[21, 7, 27, 13]",3,3,"[20, 0, 28, 16]",128
"[9, 5, 15, 11]",4,4,"[8, 4, 16, 12]",64
"[7, 6, 13, 12]",2,2,"[0, 0, 16, 16]",256
"[15, 23, 21, 29]",2,2,"[8, 16, 24, 32]",256
"[7, 7, 13, 13]",2,2,"[0, 0, 16, 16]",256
"[24, 8, 30, 14]",4,4,"[24, 8, 32, 16]",64
"[26, 11, 32, 17]",3,3,"[24, 8, 32, 24]",128
"[6, 18, 12, 24]",4,4,"[4, 16, 12, 24]",64
"[22, 10, 28, 16]",4,4,"[20, 8, 28, 16]",64
"[4, 2, 10, 8]",4,4,"[4, 0, 12, 8]",64
"[25, 12, 31, 18]",4,4,"[24, 12, 32, 20]",64
"[6, 24, 12, 30]",4,4,"[4, 24, 12, 32]",64
"[6, 26, 12, 32]",4,4,"[4, 24, 12, 32]",64
"[19, 19, 25, 25]",2,2,"[16, 16, 32, 32]",256
"[6, 26, 12, 32]",4,4,"[4, 24, 12, 32]",64
"[12, 5, 18, 11]",4,4,"[12, 4, 20, 12]",64
"[15, 22, 21, 28]",2,2,"[8, 16, 24, 32]",256
"[9, 19, 15, 25]",3,3,"[8, 16, 16, 32]",128
"[2, 23, 8, 29]",3,3,"[0, 16, 8, 32]",128
"[3, 24, 9, 30]",2,2,"[0, 16, 16, 32]",256
"[22, 9, 28, 15]",4,4,"[20, 8, 28, 16]",64
"[6, 0, 12, 6]",4,4,"[4, 0, 12, 8]",64
"[1, 11, 7, 17]",3,3,"[0, 8, 8, 24]",128
"[2, 14, 8, 20]",4,4,"[0, 12, 8, 20]",64
"[9, 9, 15, 15]",4,4,"[8, 8, 16, 16]",64
"[15, 12, 21, 18]",2,2,"[8, 8, 24, 24]",256
"[8, 7, 14, 13]",3,3,"[8, 0, 16, 16]",128
"[21, 17, 27, 23]",4,4,"[20, 16, 28, 24]",64
"[11, 16, 17, 22]",2,2,"[8, 8, 24, 24]",256
"[19, 3, 25, 9]",2,2,"[16, 0, 32, 16]",256
"[20, 10, 26, 16]",4,4,"[20, 8, 28, 16]",64
"[12, 11, 18, 17]",3,3,"[12, 8, 20, 24]",128
"[3, 17, 9, 23]",2,2,"[0, 8, 16, 24]",256
"[24, 4, 30, 10]",4,4,"[24, 4, 32, 12]",64
"[19, 15, 25, 21]",2,2,"[16, 8, 32, 24]",256
"[19, 18, 25, 24]",2,2,"[16, 8, 32, 24]",256
"[12, 16, 18, 22]",4,4,"[12, 16, 20, 24]",64
"[11, 25, 17, 31]",2,2,"[8, 16, 24, 32]",256
"[8, 17, 14, 23]",4,4,"[8, 16, 16, 24]",64
"[4, 21, 10, 27]",4,4,"[4, 20, 12, 28]",64
"[4, 25, 10, 31]",4,4,"[4, 24, 12, 32]",64
"[2, 4, 8, 10]",4,4,"[0, 4, 8, 12]",64
"[2, 8, 8, 14]",4,4,"[0, 8, 8, 16]",64
"[1, 22, 7, 28]",4,4,"[0, 20, 8, 28]",64
"[20, 7, 26, 13]",3,3,"[20, 0, 28, 16]",128
"[20, 16, 26, 22]",4,4,"[20, 16, 28, 24]",64
"[11, 23, 17, 29]",2,2,"[8, 16, 24, 32]",256
"[12, 17, 18, 23]",4,4,"[12, 16, 20, 24]",64
"[11, 23, 17, 29]",2,2,"[8, 16, 24, 32]",256
"[3, 22, 9, 28]",2,2,"[0, 16, 16, 32]",256
"[23, 25, 29, 31]",2,2,"[16, 16, 32, 32]",256
"[16, 22, 22, 28]",4,4,"[16, 20, 24, 28]",64
"[18, 23, 24, 29]",3,3,"[16, 16, 24, 32]",128
"[15, 0, 21, 6]",2,2,"[8, 0, 24, 16]",256
"[24, 6, 30, 12]",4,4,"[24, 4, 32, 12]",64
"[17, 25, 23, 31]",4,4,"[16, 24, 24, 32]",64
"[13, 0, 19, 6]",4,4,"[12, 0, 20, 8]",64
"[13, 21, 19, 27]",4,4,"[12, 20, 20, 28]",64
"[13, 18, 19, 24]",4,4,"[12, 16, 20, 24]",64
"[17, 17, 23, 23]",4,4,"[16, 16, 24, 24]",64
"[7, 3, 13, 9]",2,2,"[0, 0, 16, 16]",256
"[2, 10, 8, 16]",4,4,"[0, 8, 8, 16]",64
"[13, 17, 19, 23]",4,4,"[12, 16, 20, 24]",64
"[9, 20, 15, 26]",4,4,"[8, 20, 16, 28]",64
"[6, 15, 12, 21]",3,3,"[4, 8, 12, 24]",128
"[14, 5, 20, 11]",4,4,"[12, 4, 20, 12]",64
"[20, 20, 26, 26]",4,4,"[20, 20, 28, 28]",64
"[21, 18, 27, 24]",4,4,"[20, 16, 28, 24]",64
"[18, 9, 24, 15]",4,4,"[16, 8, 24, 16]",64
"[16, 17, 22, 23]",4,4,"[16, 16, 24, 24]",64
"[15, 25, 21, 31]",2,2,"[8, 16, 24, 32]",256
"[11, 3, 17, 9]",2,2,"[8, 0, 24, 16]",256
"[26, 23, 32, 29]",3,3,"[24, 16, 32, 32]",128
"[0, 10, 6, 16]",4,4,"[0, 8, 8, 16]",64
"[24, 11, 30, 17]",3,3,"[24, 8, 32, 24]",128
"[14, 4, 20, 10]",4,4,"[12, 4, 20, 12]",64
"[17, 8, 23, 14]",4,4,"[16, 8, 24, 16]",64
"[1, 2, 7, 8]",4,4,"[0, 0, 8, 8]",64
"[14, 5, 20, 11]",4,4,"[12, 4, 20, 12]",64
"[25, 26, 31, 32]",4,4,"[24, 24, 32, 32]",64
"[15, 20, 21, 26]",2,2,"[8, 16, 24, 32]",256
"[9, 20, 15, 26]",4,4,"[8, 20, 16, 28]",64
"[16, 4, 22, 10]",4,4,"[16, 4, 24, 12]",64
"[5, 18, 11, 24]",4,4,"[4, 16, 12, 24]",64
"[2, 21, 8, 27]",4,4,"[0, 20, 8, 28]",64
"[7, 16, 13, 22]",2,2,"[0, 8, 16, 24]",256
"[21, 22, 27, 28]",4,4,"[20, 20, 28, 28]",64
"[5, 14, 11, 20]",4,4,"[4, 12, 12, 20]",64
"[1, 3, 7, 9]",3,3,"[0, 0, 8, 16]",128
"[25, 16, 31, 22]",4,4,"[24, 16, 32, 24]",64
"[11, 24, 17, 30]",2,2,"[8, 16, 24, 32]",256
"[10, 13, 16, 19]",4,4,"[8, 12, 16, 20]",64
"[11, 7, 17, 13]",2,2,"[8, 0, 24, 16]",256
"[3, 26, 9, 32]",2,2,"[0, 16, 16, 32]",256
"[13, 25, 19, 31]",4,4,"[12, 24, 20, 32]",64
"[23, 15, 29, 21]",2,2,"[16, 8, 32, 24]",256
"[23, 19, 29, 25]",2,2,"[16, 16, 32, 32]",256
"[18, 16, 24, 22]",4,4,"[16, 16, 24, 24]",64
"[2, 18, 8, 24]",4,4,"[0, 16, 8, 24]",64
"[19, 22, 25, 28]",2,2,"[16, 16, 32, 32]",256
"[18, 14, 24, 20]",4,4,"[16, 12, 24, 20]",64
"[9, 0, 15, 6]",4,4,"[8, 0, 16, 8]",64
"[10, 17, 16, 23]",4,4,"[8, 16, 16, 24]",64
"[15, 3, 21, 9]",2,2,"[8, 0, 24, 16]",256
"[21, 26, 27, 32]",4,4,"[20, 24, 28, 32]",64
"[21, 25, 27, 31]",4,4,"[20, 24, 28, 32]",64
"[17, 23, 23, 29]",3,3,"[16, 16, 24, 32]",128
"[9, 3, 15, 9]",3,3,"[8, 0, 16, 16]",128
"[19, 25, 25, 31]",2,2,"[16, 16, 32, 32]",256
"[11, 1, 17, 7]",2,2,"[8, 0, 24, 16]",256
"[24, 18, 30, 24]",4,4,"[24, 16, 32, 24]",64
"[24, 5, 30, 11]",4,4,"[24, 4, 32, 12]",64
"[25, 9, 31, 15]",4,4,"[24, 8, 32, 16]",64
"[21, 5, 27, 11]",4,4,"[20, 4, 28, 12]",64
"[10, 26, 16, 32]",4,4,"[8, 24, 16, 32]",64
"[15, 7, 21, 13]",2,2,"[8, 0, 24, 16]",256
"[12, 26, 18, 32]",4,4,"[12, 24, 20, 32]",64
"[10, 20, 16, 26]",4,4,"[8, 20, 16, 28]",64
"[26, 22, 32, 28]",4,4,"[24, 20, 32, 28]",64
"[17, 26, 23, 32]",4,4,"[16, 24, 24, 32]",64
"[0, 11, 6, 17]",3,3,"[0, 8, 8, 24]",128
"[10, 18, 16, 24]",4,4,"[8, 16, 16, 24]",64
"[14, 6, 20, 12]",4,4,"[12, 4, 20, 12]",64
"[14, 13, 20, 19]",4,4,"[12, 12, 20, 20]",64
"[18, 23, 24, 29]",3,3,"[16, 16, 24, 32]",128
"[25, 18, 31, 24]",4,4,"[24, 16, 32, 24]",64
"[10, 13, 16, 19]",4,4,"[8, 12, 16, 20]",64
"[13, 15, 19, 21]",3,3,"[12, 8, 20, 24]",128
"[6, 5, 12, 11]",4,4,"[4, 4, 12, 12]",64
"[15, 1, 21, 7]",2,2,"[8, 0, 24, 16]",256
"[24, 6, 30, 12]",4,4,"[24, 4, 32, 12]",64
"[1, 15, 7, 21]",3,3,"[0, 8, 8, 24]",128
"[0, 5, 6, 11]",4,4,"[0, 4, 8, 12]",64
"[3, 5, 9, 11]",2,2,"[0, 0, 16, 16]",256
"[16, 6, 22, 12]",4,4,"[16, 4, 24, 12]",64
"[21, 23, 27, 29]",3,3,"[20, 16, 28, 32]",128
"[3, 21, 9, 27]",2,2,"[0, 16, 16, 32]",256
"[3, 13, 9, 19]",2,2,"[0, 8, 16, 24]",256
"[6, 16, 12, 22]",4,4,"[4, 16, 12, 24]",64
"[0, 5, 6, 11]",4,4,"[0, 4, 8, 12]",64
"[12, 5, 18, 11]",4,4,"[12, 4, 20, 12]",64
"[3, 13, 9, 19]",2,2,"[0, 8, 16, 24]",256
"[10, 16, 16, 22]",4,4,"[8, 16, 16, 24]",64
"[24, 7, 30, 13]",3,3,"[24, 0, 32, 16]",128
"[21, 14, 27, 20]",4,4,"[20, 12, 28, 20]",64
"[1, 3, 7, 9]",3,3,"[0, 0, 8, 16]",128
"[3, 6, 9, 12]",2,2,"[0, 0, 16, 16]",256
"[16, 3, 22, 9]",3,3,"[16, 0, 24, 16]",128
"[3, 17, 9, 23]",2,2,"[0, 8, 16, 24]",256
"[22, 2, 28, 8]",4,4,"[20, 0, 28, 8]",64
"[19, 2, 25, 8]",2,2,"[16, 0, 32, 16]",256
"[0, 5, 6, 11]",4,4,"[0, 4, 8, 12]",64
"[8, 14, 14, 20]",4,4,"[8, 12, 16, 20]",64
"[18, 16, 24, 22]",4,4,"[16, 16, 24, 24]",64
"[4, 9, 10, 15]",4,4,"[4, 8, 12, 16]",64
"[21, 9, 27, 15]",4,4,"[20, 8, 28, 16]",64
"[26, 18, 32, 24]",4,4,"[24, 16, 32, 24]",64
"[18, 19, 24, 25]",3,3,"[16, 16, 24, 32]",128
"[7, 10, 13, 16]",2,2,"[0, 8, 16, 24]",256
"[8, 24, 14, 30]",4,4,"[8, 24, 16, 32]",64
"[4, 23, 10, 29]",3,3,"[4, 16, 12, 32]",128
"[20, 15, 26, 21]",3,3,"[20, 8, 28, 24]",128
"[5, 10, 11, 16]",4,4,"[4, 8, 12, 16]",64
"[21, 6, 27, 12]",4,4,"[20, 4, 28, 12]",64
"[7, 4, 13, 10]",2,2,"[0, 0, 16, 16]",256
"[23, 19, 29, 25]",2,2,"[16, 16, 32, 32]",256
"[12, 15, 18, 21]",3,3,"[12, 8, 20, 24]",128
"[12, 1, 18, 7]",4,4,"[12, 0, 20, 8]",64
"[18, 5, 24, 11]",4,4,"[16, 4, 24, 12]",64
"[19, 25, 25, 31]",2,2,"[16, 16, 32, 32]",256
"[0, 9, 6, 15]",4,4,"[0, 8, 8, 16]",64
"[3, 26, 9, 32]",2,2,"[0, 16, 16, 32]",256
"[1, 13, 7, 19]",4,4,"[0, 12, 8, 20]",64
"[1, 4, 7, 10]",4,4,"[0, 4, 8, 12]",64
"[6, 9, 12, 15]",4,4,"[4, 8, 12, 16]",64
"[2, 21, 8, 27]",4,4,"[0, 20, 8, 28]",64
"[6, 0, 12, 6]",4,4,"[4, 0, 12, 8]",64
"[18, 14, 24, 20]",4,4,"[16, 12, 24, 20]",64
"[12, 13, 18, 19]",4,4,"[12, 12, 20, 20]",64
"[21, 15, 27, 21]",3,3,"[20, 8, 28, 24]",128
"[6, 8, 12, 14]",4,4,"[4, 8, 12, 16]",64
"[22, 21, 28, 27]",4,4,"[20, 20, 28, 28]",64
"[2, 22, 8, 28]",4,4,"[0, 20, 8, 28]",64
"[11, 15, 17, 21]",2,2,"[8, 8, 24, 24]",256
"[13, 10, 19, 16]",4,4,"[12, 8, 20, 16]",64
"[19, 0, 25, 6]",2,2,"[16, 0, 32, 16]",256
"[21, 1, 27, 7]",4,4,"[20, 0, 28, 8]",64
"[3, 18, 9, 24]",2,2,"[0, 8, 16, 24]",256
"[19, 15, 25, 21]",2,2,"[16, 8, 32, 24]",256
"[14, 6, 20, 12]",4,4,"[12, 4, 20, 12]",64
"[22, 14, 28, 20]",4,4,"[20, 12, 28, 20]",64
"[16, 0, 22, 6]",4,4,"[16, 0, 24, 8]",64
"[8, 7, 14, 13]",3,3,"[8, 0, 16, 16]",128
"[1, 7, 7, 13]",3,3,"[0, 0, 8, 16]",128
"[26, 24, 32, 30]",4,4,"[24, 24, 32, 32]",64
"[10, 25, 16, 31]",4,4,"[8, 24, 16, 32]",64
"[23, 16, 29, 22]",2,2,"[16, 8, 32, 24]",256
"[8, 24, 14, 30]",4,4,"[8, 24, 16, 32]",64
"[1, 12, 7, 18]",4,4,"[0, 12, 8, 20]",64
"[11, 22, 17, 28]",2,2,"[8, 16, 24, 32]",256
"[6, 7, 12, 13]",3,3,"[4, 0, 12, 16]",128
"[6, 10, 12, 16]",4,4,"[4, 8, 12, 16]",64
"[0, 19, 6, 25]",3,3,"[0, 16, 8, 32]",128
"[22, 3, 28, 9]",3,3,"[20, 0, 28, 16]",128
"[1, 2, 7, 8]",4,4,"[0, 0, 8, 8]",64
"[7, 25, 13, 31]",2,2,"[0, 16, 16, 32]",256
"[11, 19, 17, 25]",2,2,"[8, 16, 24, 32]",256
"[23, 3, 29, 9]",2,2,"[16, 0, 32, 16]",256
"[17, 12, 23, 18]",4,4,"[16, 12, 24, 20]",64
"[8, 20, 14, 26]",4,4,"[8, 20, 16, 28]",64
"[6, 25, 12, 31]",4,4,"[4, 24, 12, 32]",64
"[5, 14, 11, 20]",4,4,"[4, 12, 12, 20]",64
"[14, 14, 20, 20]",4,4,"[12, 12, 20, 20]",64
"[7, 18, 13, 24]",2,2,"[0, 8, 16, 24]",256
"[2, 24, 8, 30]",4,4,"[0, 24, 8, 32]",64
"[16, 17, 22, 23]",4,4,"[16, 16, 24, 24]",64
"[5, 22, 11, 28]",4,4,"[4, 20, 12, 28]",64
"[3, 25, 9, 31]",2,2,"[0, 16, 16, 32]",256
"[10, 26, 16, 32]",4,4,"[8, 24, 16, 32]",64
"[18, 5, 24, 11]",4,4,"[16, 4, 24, 12]",64
"[2, 22, 8, 28]",4,4,"[0, 20, 8, 28]",64
"[8, 22, 14, 28]",4,4,"[8, 20, 16, 28]",64
"[24, 13, 30, 19]",4,4,"[24, 12, 32, 20]",64
"[9, 6, 15, 12]",4,4,"[8, 4, 16, 12]",64
"[4, 3, 10, 9]",3,3,"[4, 0, 12, 16]",128
"[21, 7, 27, 13]",3,3,"[20, 0, 28, 16]",128
"[20, 6, 26, 12]",4,4,"[20, 4, 28, 12]",64
"[9, 8, 15, 14]",4,4,"[8, 8, 16, 16]",64
"[25, 1, 31, 7]",4,4,"[24, 0, 32, 8]",64
"[3, 26, 9, 32]",2,2,"[0, 16, 16, 32]",256
"[4, 17, 10, 23]",4,4,"[4, 16, 12, 24]",64
"[15, 26, 21, 32]",2,2,"[8, 16, 24, 32]",256
"[8, 22, 14, 28]",4,4,"[8, 20, 16, 28]",64
"[4, 2, 10, 8]",4,4,"[4, 0, 12, 8]",64
"[3, 24, 9, 30]",2,2,"[0, 16, 16, 32]",256
"[6, 26, 12, 32]",4,4,"[4, 24, 12, 32]",64
"[19, 16, 25, 22]",2,2,"[16, 8, 32, 24]",256
"[7, 7, 13, 13]",2,2,"[0, 0, 16, 16]",256
"[4, 14, 10, 20]",4,4,"[4, 12, 12, 20]",64
"[6, 15, 12, 21]",3,3,"[4, 8, 12, 24]",128
"[26, 19, 32, 25]",3,3,"[24, 16, 32, 32]",128
"[15, 3, 21, 9]",2,2,"[8, 0, 24, 16]",256
"[11, 13, 17, 19]",2,2,"[8, 8, 24, 24]",256
"[17, 5, 23, 11]",4,4,"[16, 4, 24, 12]",64
"[0, 13, 6, 19]",4,4,"[0, 12, 8, 20]",64
"[20, 25, 26, 31]",4,4,"[20, 24, 28, 32]",64
"[18, 19, 24, 25]",3,3,"[16, 16, 24, 32]",128
"[4, 18, 10, 24]",4,4,"[4, 16, 12, 24]",64
"[22, 4, 28, 10]",4,4,"[20, 4, 28, 12]",64
"[22, 12, 28, 18]",4,4,"[20, 12, 28, 20]",64
"[11, 23, 17, 29]",2,2,"[8, 16, 24, 32]",256
"[16, 17, 22, 23]",4,4,"[16, 16, 24, 24]",64
"[6, 22, 12, 28]",4,4,"[4, 20, 12, 28]",64
"[6, 11, 12, 17]",3,3,"[4, 8, 12, 24]",128
"[7, 19, 13, 25]",2,2,"[0, 16, 16, 32]",256
"[15, 26, 21, 32]",2,2,"[8, 16, 24, 32]",256
"[20, 1, 26, 7]",4,4,"[20, 0, 28, 8]",64
"[24, 13, 30, 19]",4,4,"[24, 12, 32, 20]",64
"[19, 21, 25, 27]",2,2,"[16, 16, 32, 32]",256
"[26, 14, 32, 20]",4,4,"[24, 12, 32, 20]",64
"[1, 17, 7, 23]",4,4,"[0, 16, 8, 24]",64
"[10, 6, 16, 12]",4,4,"[8, 4, 16, 12]",64
"[10, 26, 16, 32]",4,4,"[8, 24, 16, 32]",64
"[5, 0, 11, 6]",4,4,"[4, 0, 12, 8]",64
"[10, 26, 16, 32]",4,4,"[8, 24, 16, 32]",64
"[15, 24, 21, 30]",2,2,"[8, 16, 24, 32]",256
"[2, 17, 8, 23]",4,4,"[0, 16, 8, 24]",64
"[25, 19, 31, 25]",3,3,"[24, 16, 32, 32]",128
"[24, 12, 30, 18]",4,4,"[24, 12, 32, 20]",64
"[26, 9, 32, 15]",4,4,"[24, 8, 32, 16]",64
"[18, 17, 24, 23]",4,4,"[16, 16, 24, 24]",64
"[5, 7, 11, 13]",3,3,"[4, 0, 12, 16]",128
"[21, 0, 27, 6]",4,4,"[20, 0, 28, 8]",64
"[15, 3, 21, 9]",2,2,"[8, 0, 24, 16]",256
"[22, 22, 28, 28]",4,4,"[20, 20, 28, 28]",64
"[6, 14, 12, 20]",4,4,"[4, 12, 12, 20]",64
"[9, 18, 15, 24]",4,4,"[8, 16, 16, 24]",64
"[9, 9, 15, 15]",4,4,"[8, 8, 16, 16]",64
"[0, 22, 6, 28]",4,4,"[0, 20, 8, 28]",64
"[19, 11, 25, 17]",2,2,"[16, 8, 32, 24]",256
"[8, 21, 14, 27]",4,4,"[8, 20, 16, 28]",64
"[2, 0, 8, 6]",4,4,"[0, 0, 8, 8]",64
"[19, 0, 25, 6]",2,2,"[16, 0, 32, 16]",256
"[14, 1, 20, 7]",4,4,"[12, 0, 20, 8]",64
"[4, 2, 10, 8]",4,4,"[4, 0, 12, 8]",64
"[1, 8, 7, 14]",4,4,"[0, 8, 8, 16]",64
"[9, 23, 15, 29]",3,3,"[8, 16, 16, 32]",128
"[2, 2, 8, 8]",4,4,"[0, 0, 8, 8]",64
"[26, 2, 32, 8]",4,4,"[24, 0, 32, 8]",64
"[7, 25, 13, 31]",2,2,"[0, 16, 16, 32]",256
"[18, 19, 24, 25]",3,3,"[16, 16, 24, 32]",128
"[1, 25, 7, 31]",4,4,"[0, 24, 8, 32]",64
"[26, 20, 32, 26]",4,4,"[24, 20, 32, 28]",64
"[10, 10, 16, 16]",4,4,"[8, 8, 16, 16]",64
"[19, 26, 25, 32]",2,2,"[16, 16, 32, 32]",256
"[25, 19, 31, 25]",3,3,"[24, 16, 32, 32]",128
"[14, 0, 20, 6]",4,4,"[12, 0, 20, 8]",64
"[17, 26, 23, 32]",4,4,"[16, 24, 24, 32]",64
"[21, 19, 27, 25]",3,3,"[20, 16, 28, 32]",128
"[23, 15, 29, 21]",2,2,"[16, 8, 32, 24]",256
"[23, 26, 29, 32]",2,2,"[16, 16, 32, 32]",256
"[12, 9, 18, 15]",4,4,"[12, 8, 20, 16]",64
"[19, 0, 25, 6]",2,2,"[16, 0, 32, 16]",256
"[7, 11, 13, 17]",2,2,"[0, 8, 16, 24]",256
"[11, 26, 17, 32]",2,2,"[8, 16, 24, 32]",256
"[10, 5, 16, 11]",4,4,"[8, 4, 16, 12]",64
"[13, 6, 19, 12]",4,4,"[12, 4, 20, 12]",64
"[12, 1, 18, 7]",4,4,"[12, 0, 20, 8]",64
"[25, 0, 31, 6]",4,4,"[24, 0, 32, 8]",64
"[8, 24, 14, 30]",4,4,"[8, 24, 16, 32]",64
"[19, 17, 25, 23]",2,2,"[16, 8, 32, 24]",256
"[6, 9, 12, 15]",4,4,"[4, 8, 12, 16]",64
"[4, 19, 10, 25]",3,3,"[4, 16, 12, 32]",128
"[0, 23, 6, 29]",3,3,"[0, 16, 8, 32]",128
"[12, 26, 18, 32]",4,4,"[12, 24, 20, 32]",64
"[8, 7, 14, 13]",3,3,"[8, 0, 16, 16]",128
"[0, 1, 6, 7]",4,4,"[0, 0, 8, 8]",64
"[19, 5, 25, 11]",2,2,"[16, 0, 32, 16]",256
"[23, 14, 29, 20]",2,2,"[16, 8, 32, 24]",256
"[19, 4, 25, 10]",2,2,"[16, 0, 32, 16]",256
"[26, 7, 32, 13]",3,3,"[24, 0, 32, 16]",128
"[26, 19, 32, 25]",3,3,"[24, 16, 32, 32]",128
"[23, 26, 29, 32]",2,2,"[16, 16, 32, 32]",256
"[10, 9, 16, 15]",4,4,"[8, 8, 16, 16]",64
"[20, 12, 26, 18]",4,4,"[20, 12, 28, 20]",64
"[16, 22, 22, 28]",4,4,"[16, 20, 24, 28]",64
"[24, 2, 30, 8]",4,4,"[24, 0, 32, 8]",64
"[16, 15, 22, 21]",3,3,"[16, 8, 24, 24]",128
"[7, 8, 13, 14]",2,2,"[0, 8, 16, 24]",256
"[8, 1, 14, 7]",4,4,"[8, 0, 16, 8]",64
"[11, 18, 17, 24]",2,2,"[8, 8, 24, 24]",256
"[9, 25, 15, 31]",4,4,"[8, 24, 16, 32]",64
"[18, 8, 24, 14]",4,4,"[16, 8, 24, 16]",64
"[7, 22, 13, 28]",2,2,"[0, 16, 16, 32]",256
"[9, 10, 15, 16]",4,4,"[8, 8, 16, 16]",64
"[16, 26, 22, 32]",4,4,"[16, 24, 24, 32]",64
"[9, 8, 15, 14]",4,4,"[8, 8, 16, 16]",64
"[12, 15, 18, 21]",3,3,"[12, 8, 20, 24]",128
"[3, 22, 9, 28]",2,2,"[0, 16, 16, 32]",256
"[2, 13, 8, 19]",4,4,"[0, 12, 8, 20]",64
"[6, 20, 12, 26]",4,4,"[4, 20, 12, 28]",64
"[5, 21, 11, 27]",4,4,"[4, 20, 12, 28]",64
"[26, 21, 32, 27]",4,4,"[24, 20, 32, 28]",64
"[26, 6, 32, 12]",4,4,"[24, 4, 32, 12]",64
"[8, 11, 14, 17]",3,3,"[8, 8, 16, 24]",128
"[20, 16, 26, 22]",4,4,"[20, 16, 28, 24]",64
"[14, 20, 20, 26]",4,4,"[12, 20, 20, 28]",64
"[14, 22, 20, 28]",4,4,"[12, 20, 20, 28]",64
"[19, 24, 25, 30]",2,2,"[16, 16, 32, 32]",256
"[13, 6, 19, 12]",4,4,"[12, 4, 20, 12]",64
"[24, 17, 30, 23]",4,4,"[24, 16, 32, 24]",64
"[14, 10, 20, 16]",4,4,"[12, 8, 20, 16]",64
"[3, 23, 9, 29]",2,2,"[0, 16, 16, 32]",256
"[6, 19, 12, 25]",3,3,"[4, 16, 12, 32]",128
"[15, 9, 21, 15]",2,2,"[8, 8, 24, 24]",256
"[18, 24, 24, 30]",4,4,"[16, 24, 24, 32]",64
"[3, 26, 9, 32]",2,2,"[0, 16, 16, 32]",256
"[0, 1, 6, 7]",4,4,"[0, 0, 8, 8]",64
