SRC_middle Query: Medium,Depth,# Hops,BBoxes,Data Size
"[18, 5, 24, 11]",4,4,"[16, 4, 24, 12]",64
"[22, 21, 28, 27]",4,4,"[20, 20, 28, 28]",64
"[6, 24, 12, 30]",4,4,"[4, 24, 12, 32]",64
"[1, 25, 7, 31]",4,4,"[0, 24, 8, 32]",64
"[21, 5, 27, 11]",4,4,"[20, 4, 28, 12]",64
"[5, 10, 11, 16]",4,4,"[4, 8, 12, 16]",64
"[16, 8, 22, 14]",4,4,"[16, 8, 24, 16]",64
"[3, 19, 9, 25]",2,2,"[0, 16, 16, 32]",256
"[14, 21, 20, 27]",4,4,"[12, 20, 20, 28]",64
"[5, 0, 11, 6]",4,4,"[4, 0, 12, 8]",64
"[15, 21, 21, 27]",2,2,"[8, 16, 24, 32]",256
"[13, 18, 19, 24]",4,4,"[12, 16, 20, 24]",64
"[16, 9, 22, 15]",4,4,"[16, 8, 24, 16]",64
"[20, 11, 26, 17]",3,3,"[20, 8, 28, 24]",128
"[12, 26, 18, 32]",4,4,"[12, 24, 20, 32]",64
"[21, 8, 27, 14]",4,4,"[20, 8, 28, 16]",64
"[4, 17, 10, 23]",4,4,"[4, 16, 12, 24]",64
"[22, 0, 28, 6]",4,4,"[20, 0, 28, 8]",64
"[14, 23, 20, 29]",3,3,"[12, 16, 20, 32]",128
"[2, 10, 8, 16]",4,4,"[0, 8, 8, 16]",64
"[23, 1, 29, 7]",2,2,"[16, 0, 32, 16]",256
"[17, 8, 23, 14]",4,4,"[16, 8, 24, 16]",64
"[4, 7, 10, 13]",3,3,"[4, 0, 12, 16]",128
"[24, 15, 30, 21]",3,3,"[24, 8, 32, 24]",128
"[11, 19, 17, 25]",2,2,"[8, 16, 24, 32]",256
"[9, 21, 15, 27]",4,4,"[8, 20, 16, 28]",64
"[11, 18, 17, 24]",2,2,"[8, 8, 24, 24]",256
"[20, 19, 26, 25]",3,3,"[20, 16, 28, 32]",128
"[4, 22, 10, 28]",4,4,"[4, 20, 12, 28]",64
"[9, 12, 15, 18]",4,4,"[8, 12, 16, 20]",64
"[23, 13, 29, 19]",2,2,"[16, 8, 32, 24]",256
"[26, 20, 32, 26]",4,4,"[24, 20, 32, 28]",64
"[2, 0, 8, 6]",4,4,"[0, 0, 8, 8]",64
"[19, 6, 25, 12]",2,2,"[16, 0, 32, 16]",256
