SRC_exhaustive Query: Small,Depth,BBoxes,Data Size
"[2, 11, 3, 12]",0,"[0, 0, 16, 16]",256
"[3, 1, 4, 2]",0,"[0, 0, 16, 16]",256
"[0, 6, 1, 7]",0,"[0, 0, 16, 16]",256
"[5, 3, 6, 4]",1,"[4, 0, 12, 16]",128
"[15, 6, 16, 7]",5,"[14, 6, 16, 10]",8
"[1, 0, 2, 1]",0,"[0, 0, 16, 16]",256
"[13, 3, 14, 4]",1,"[8, 0, 16, 16]",128
"[8, 2, 9, 3]",1,"[4, 0, 12, 16]",128
"[7, 2, 8, 3]",1,"[4, 0, 12, 16]",128
"[9, 11, 10, 12]",6,"[4, 4, 6, 6]",4
"[13, 5, 14, 6]",3,"[10, 4, 14, 12]",32
"[1, 14, 2, 15]",0,"[0, 0, 16, 16]",256
"[1, 3, 2, 4]",0,"[0, 0, 16, 16]",256
"[12, 6, 13, 7]",5,"[11, 6, 13, 10]",8
"[8, 11, 9, 12]",6,"[4, 4, 6, 6]",4
"[15, 5, 16, 6]",3,"[12, 4, 16, 12]",32
"[6, 1, 7, 2]",1,"[4, 0, 12, 16]",128
"[5, 5, 6, 6]",2,"[4, 4, 12, 12]",64
"[10, 8, 11, 9]",6,"[9, 6, 11, 8]",4
"[3, 14, 4, 15]",0,"[0, 0, 16, 16]",256
"[5, 0, 6, 1]",1,"[4, 0, 12, 16]",128
"[15, 13, 16, 14]",6,"[8, 0, 10, 2]",4
"[9, 11, 10, 12]",6,"[4, 4, 6, 6]",4
"[12, 8, 13, 9]",6,"[11, 6, 13, 8]",4
"[4, 0, 5, 1]",1,"[4, 0, 12, 16]",128
"[14, 2, 15, 3]",1,"[8, 0, 16, 16]",128
"[10, 1, 11, 2]",1,"[4, 0, 12, 16]",128
"[8, 4, 9, 5]",3,"[6, 4, 10, 12]",32
"[7, 15, 8, 16]",6,"[0, 0, 2, 2]",4
"[11, 9, 12, 10]",6,"[4, 0, 6, 2]",4
"[11, 4, 12, 5]",3,"[8, 4, 12, 12]",32
"[9, 12, 10, 13]",6,"[6, 8, 8, 10]",4
"[13, 2, 14, 3]",1,"[8, 0, 16, 16]",128
"[0, 6, 1, 7]",0,"[0, 0, 16, 16]",256
"[10, 5, 11, 6]",3,"[8, 4, 12, 12]",32
"[7, 7, 8, 8]",6,"[7, 7, 9, 9]",4
"[14, 12, 15, 13]",6,"[13, 10, 15, 12]",4
"[13, 1, 14, 2]",1,"[8, 0, 16, 16]",128
"[12, 13, 13, 14]",6,"[10, 10, 12, 12]",4
"[1, 5, 2, 6]",0,"[0, 0, 16, 16]",256
"[14, 2, 15, 3]",1,"[8, 0, 16, 16]",128
"[8, 5, 9, 6]",3,"[6, 4, 10, 12]",32
"[14, 15, 15, 16]",6,"[0, 0, 2, 2]",4
"[0, 1, 1, 2]",0,"[0, 0, 16, 16]",256
"[15, 10, 16, 11]",6,"[8, 0, 10, 2]",4
"[9, 14, 10, 15]",6,"[6, 8, 8, 10]",4
"[1, 13, 2, 14]",0,"[0, 0, 16, 16]",256
"[6, 2, 7, 3]",1,"[4, 0, 12, 16]",128
"[4, 0, 5, 1]",1,"[4, 0, 12, 16]",128
"[12, 13, 13, 14]",6,"[10, 10, 12, 12]",4
"[10, 0, 11, 1]",1,"[4, 0, 12, 16]",128
"[6, 0, 7, 1]",1,"[4, 0, 12, 16]",128
"[0, 3, 1, 4]",0,"[0, 0, 16, 16]",256
"[6, 3, 7, 4]",1,"[4, 0, 12, 16]",128
"[6, 9, 7, 10]",4,"[6, 6, 10, 10]",16
"[8, 5, 9, 6]",3,"[6, 4, 10, 12]",32
"[3, 15, 4, 16]",0,"[0, 0, 16, 16]",256
"[12, 2, 13, 3]",1,"[8, 0, 16, 16]",128
"[0, 8, 1, 9]",0,"[0, 0, 16, 16]",256
"[14, 3, 15, 4]",1,"[8, 0, 16, 16]",128
"[8, 4, 9, 5]",3,"[6, 4, 10, 12]",32
"[11, 3, 12, 4]",1,"[4, 0, 12, 16]",128
"[4, 8, 5, 9]",2,"[4, 4, 12, 12]",64
"[0, 1, 1, 2]",0,"[0, 0, 16, 16]",256
"[1, 6, 2, 7]",0,"[0, 0, 16, 16]",256
"[8, 10, 9, 11]",6,"[7, 8, 9, 10]",4
"[11, 1, 12, 2]",1,"[4, 0, 12, 16]",128
"[15, 14, 16, 15]",6,"[8, 0, 10, 2]",4
"[13, 11, 14, 12]",6,"[8, 4, 10, 6]",4
"[5, 6, 6, 7]",2,"[4, 4, 12, 12]",64
"[12, 9, 13, 10]",6,"[10, 6, 12, 8]",4
"[0, 4, 1, 5]",0,"[0, 0, 16, 16]",256
"[4, 8, 5, 9]",2,"[4, 4, 12, 12]",64
"[10, 10, 11, 11]",6,"[9, 8, 11, 10]",4
"[11, 2, 12, 3]",1,"[4, 0, 12, 16]",128
"[10, 1, 11, 2]",1,"[4, 0, 12, 16]",128
"[1, 8, 2, 9]",0,"[0, 0, 16, 16]",256
"[5, 4, 6, 5]",2,"[4, 4, 12, 12]",64
"[9, 11, 10, 12]",6,"[4, 4, 6, 6]",4
"[12, 4, 13, 5]",3,"[10, 4, 14, 12]",32
"[9, 3, 10, 4]",1,"[4, 0, 12, 16]",128
"[15, 7, 16, 8]",6,"[8, 0, 10, 2]",4
"[1, 9, 2, 10]",0,"[0, 0, 16, 16]",256
"[5, 2, 6, 3]",1,"[4, 0, 12, 16]",128
"[9, 12, 10, 13]",6,"[6, 8, 8, 10]",4
"[10, 9, 11, 10]",6,"[8, 6, 10, 8]",4
"[13, 3, 14, 4]",1,"[8, 0, 16, 16]",128
"[3, 15, 4, 16]",0,"[0, 0, 16, 16]",256
"[15, 10, 16, 11]",6,"[8, 0, 10, 2]",4
"[10, 3, 11, 4]",1,"[4, 0, 12, 16]",128
"[15, 3, 16, 4]",1,"[8, 0, 16, 16]",128
"[15, 13, 16, 14]",6,"[8, 0, 10, 2]",4
"[1, 9, 2, 10]",0,"[0, 0, 16, 16]",256
"[10, 4, 11, 5]",3,"[8, 4, 12, 12]",32
"[5, 12, 6, 13]",2,"[4, 8, 12, 16]",64
"[2, 2, 3, 3]",0,"[0, 0, 16, 16]",256
"[2, 6, 3, 7]",0,"[0, 0, 16, 16]",256
"[7, 1, 8, 2]",1,"[4, 0, 12, 16]",128
"[12, 0, 13, 1]",1,"[8, 0, 16, 16]",128
"[3, 12, 4, 13]",0,"[0, 0, 16, 16]",256
"[9, 14, 10, 15]",6,"[6, 8, 8, 10]",4
"[15, 6, 16, 7]",5,"[14, 6, 16, 10]",8
"[13, 2, 14, 3]",1,"[8, 0, 16, 16]",128
"[11, 7, 12, 8]",6,"[4, 0, 6, 2]",4
"[8, 5, 9, 6]",3,"[6, 4, 10, 12]",32
"[13, 6, 14, 7]",5,"[12, 6, 14, 10]",8
"[11, 3, 12, 4]",1,"[4, 0, 12, 16]",128
"[2, 0, 3, 1]",0,"[0, 0, 16, 16]",256
"[14, 6, 15, 7]",5,"[13, 6, 15, 10]",8
"[3, 15, 4, 16]",0,"[0, 0, 16, 16]",256
"[12, 8, 13, 9]",6,"[11, 6, 13, 8]",4
"[6, 1, 7, 2]",1,"[4, 0, 12, 16]",128
"[6, 4, 7, 5]",3,"[6, 4, 10, 12]",32
"[3, 6, 4, 7]",0,"[0, 0, 16, 16]",256
"[14, 12, 15, 13]",6,"[13, 10, 15, 12]",4
"[11, 4, 12, 5]",3,"[8, 4, 12, 12]",32
"[3, 15, 4, 16]",0,"[0, 0, 16, 16]",256
"[4, 12, 5, 13]",2,"[4, 8, 12, 16]",64
"[13, 15, 14, 16]",6,"[0, 0, 2, 2]",4
"[10, 15, 11, 16]",6,"[0, 0, 2, 2]",4
"[15, 6, 16, 7]",5,"[14, 6, 16, 10]",8
"[7, 0, 8, 1]",1,"[4, 0, 12, 16]",128
"[10, 10, 11, 11]",6,"[9, 8, 11, 10]",4
"[10, 1, 11, 2]",1,"[4, 0, 12, 16]",128
"[4, 8, 5, 9]",2,"[4, 4, 12, 12]",64
"[4, 12, 5, 13]",2,"[4, 8, 12, 16]",64
"[9, 15, 10, 16]",6,"[0, 0, 2, 2]",4
"[2, 2, 3, 3]",0,"[0, 0, 16, 16]",256
"[1, 2, 2, 3]",0,"[0, 0, 16, 16]",256
"[7, 4, 8, 5]",3,"[6, 4, 10, 12]",32
"[1, 9, 2, 10]",0,"[0, 0, 16, 16]",256
"[0, 14, 1, 15]",0,"[0, 0, 16, 16]",256
"[10, 5, 11, 6]",3,"[8, 4, 12, 12]",32
"[4, 14, 5, 15]",2,"[4, 8, 12, 16]",64
"[11, 12, 12, 13]",6,"[4, 0, 6, 2]",4
"[1, 2, 2, 3]",0,"[0, 0, 16, 16]",256
"[2, 13, 3, 14]",0,"[0, 0, 16, 16]",256
"[6, 9, 7, 10]",4,"[6, 6, 10, 10]",16
"[13, 15, 14, 16]",6,"[0, 0, 2, 2]",4
"[12, 7, 13, 8]",6,"[11, 6, 13, 8]",4
"[0, 0, 1, 1]",0,"[0, 0, 16, 16]",256
"[5, 9, 6, 10]",2,"[4, 4, 12, 12]",64
"[8, 10, 9, 11]",6,"[7, 8, 9, 10]",4
"[2, 15, 3, 16]",0,"[0, 0, 16, 16]",256
"[8, 9, 9, 10]",6,"[6, 6, 8, 8]",4
"[13, 12, 14, 13]",6,"[10, 8, 12, 10]",4
"[12, 1, 13, 2]",1,"[8, 0, 16, 16]",128
"[5, 4, 6, 5]",2,"[4, 4, 12, 12]",64
"[7, 9, 8, 10]",6,"[6, 6, 8, 8]",4
"[10, 1, 11, 2]",1,"[4, 0, 12, 16]",128
"[1, 15, 2, 16]",0,"[0, 0, 16, 16]",256
"[13, 4, 14, 5]",3,"[10, 4, 14, 12]",32
"[15, 2, 16, 3]",1,"[8, 0, 16, 16]",128
"[4, 11, 5, 12]",2,"[4, 4, 12, 12]",64
"[13, 1, 14, 2]",1,"[8, 0, 16, 16]",128
"[14, 12, 15, 13]",6,"[13, 10, 15, 12]",4
"[14, 1, 15, 2]",1,"[8, 0, 16, 16]",128
"[3, 15, 4, 16]",0,"[0, 0, 16, 16]",256
"[4, 0, 5, 1]",1,"[4, 0, 12, 16]",128
"[1, 4, 2, 5]",0,"[0, 0, 16, 16]",256
"[10, 3, 11, 4]",1,"[4, 0, 12, 16]",128
"[11, 6, 12, 7]",5,"[10, 6, 12, 10]",8
"[12, 15, 13, 16]",6,"[0, 0, 2, 2]",4
"[3, 1, 4, 2]",0,"[0, 0, 16, 16]",256
"[14, 10, 15, 11]",6,"[13, 8, 15, 10]",4
"[3, 9, 4, 10]",0,"[0, 0, 16, 16]",256
"[4, 12, 5, 13]",2,"[4, 8, 12, 16]",64
"[9, 3, 10, 4]",1,"[4, 0, 12, 16]",128
"[6, 1, 7, 2]",1,"[4, 0, 12, 16]",128
"[12, 14, 13, 15]",6,"[11, 12, 13, 14]",4
"[11, 6, 12, 7]",5,"[10, 6, 12, 10]",8
"[14, 11, 15, 12]",6,"[8, 4, 10, 6]",4
"[2, 1, 3, 2]",0,"[0, 0, 16, 16]",256
"[1, 15, 2, 16]",0,"[0, 0, 16, 16]",256
"[8, 0, 9, 1]",1,"[4, 0, 12, 16]",128
"[6, 7, 7, 8]",4,"[6, 6, 10, 10]",16
"[2, 13, 3, 14]",0,"[0, 0, 16, 16]",256
"[9, 3, 10, 4]",1,"[4, 0, 12, 16]",128
"[4, 13, 5, 14]",2,"[4, 8, 12, 16]",64
"[13, 2, 14, 3]",1,"[8, 0, 16, 16]",128
"[3, 13, 4, 14]",0,"[0, 0, 16, 16]",256
"[2, 3, 3, 4]",0,"[0, 0, 16, 16]",256
"[13, 4, 14, 5]",3,"[10, 4, 14, 12]",32
"[0, 14, 1, 15]",0,"[0, 0, 16, 16]",256
"[13, 13, 14, 14]",6,"[10, 8, 12, 10]",4
"[0, 15, 1, 16]",0,"[0, 0, 16, 16]",256
"[10, 8, 11, 9]",6,"[9, 6, 11, 8]",4
"[2, 11, 3, 12]",0,"[0, 0, 16, 16]",256
"[2, 3, 3, 4]",0,"[0, 0, 16, 16]",256
"[11, 0, 12, 1]",1,"[4, 0, 12, 16]",128
"[11, 11, 12, 12]",6,"[4, 0, 6, 2]",4
"[5, 0, 6, 1]",1,"[4, 0, 12, 16]",128
"[7, 11, 8, 12]",6,"[4, 4, 6, 6]",4
"[2, 4, 3, 5]",0,"[0, 0, 16, 16]",256
"[6, 0, 7, 1]",1,"[4, 0, 12, 16]",128
"[6, 3, 7, 4]",1,"[4, 0, 12, 16]",128
"[0, 9, 1, 10]",0,"[0, 0, 16, 16]",256
"[11, 0, 12, 1]",1,"[4, 0, 12, 16]",128
"[7, 4, 8, 5]",3,"[6, 4, 10, 12]",32
"[5, 14, 6, 15]",2,"[4, 8, 12, 16]",64
"[3, 15, 4, 16]",0,"[0, 0, 16, 16]",256
"[11, 8, 12, 9]",6,"[4, 0, 6, 2]",4
"[4, 0, 5, 1]",1,"[4, 0, 12, 16]",128
"[6, 11, 7, 12]",4,"[6, 8, 10, 12]",16
"[10, 15, 11, 16]",6,"[0, 0, 2, 2]",4
"[9, 9, 10, 10]",6,"[6, 4, 8, 6]",4
"[10, 5, 11, 6]",3,"[8, 4, 12, 12]",32
"[2, 3, 3, 4]",0,"[0, 0, 16, 16]",256
"[9, 5, 10, 6]",3,"[6, 4, 10, 12]",32
"[12, 4, 13, 5]",3,"[10, 4, 14, 12]",32
"[4, 7, 5, 8]",2,"[4, 4, 12, 12]",64
"[10, 7, 11, 8]",6,"[9, 6, 11, 8]",4
"[7, 5, 8, 6]",3,"[6, 4, 10, 12]",32
"[9, 11, 10, 12]",6,"[4, 4, 6, 6]",4
"[13, 1, 14, 2]",1,"[8, 0, 16, 16]",128
"[4, 0, 5, 1]",1,"[4, 0, 12, 16]",128
"[12, 2, 13, 3]",1,"[8, 0, 16, 16]",128
"[2, 4, 3, 5]",0,"[0, 0, 16, 16]",256
"[13, 9, 14, 10]",6,"[10, 4, 12, 6]",4
"[13, 4, 14, 5]",3,"[10, 4, 14, 12]",32
"[13, 9, 14, 10]",6,"[10, 4, 12, 6]",4
"[11, 2, 12, 3]",1,"[4, 0, 12, 16]",128
"[7, 14, 8, 15]",6,"[7, 13, 9, 15]",4
"[11, 1, 12, 2]",1,"[4, 0, 12, 16]",128
"[12, 13, 13, 14]",6,"[10, 10, 12, 12]",4
"[0, 13, 1, 14]",0,"[0, 0, 16, 16]",256
"[10, 14, 11, 15]",6,"[9, 12, 11, 14]",4
"[6, 11, 7, 12]",4,"[6, 8, 10, 12]",16
"[9, 15, 10, 16]",6,"[0, 0, 2, 2]",4
"[2, 5, 3, 6]",0,"[0, 0, 16, 16]",256
"[3, 8, 4, 9]",0,"[0, 0, 16, 16]",256
"[3, 4, 4, 5]",0,"[0, 0, 16, 16]",256
"[14, 12, 15, 13]",6,"[13, 10, 15, 12]",4
"[5, 13, 6, 14]",2,"[4, 8, 12, 16]",64
"[13, 5, 14, 6]",3,"[10, 4, 14, 12]",32
"[7, 14, 8, 15]",6,"[7, 13, 9, 15]",4
"[10, 4, 11, 5]",3,"[8, 4, 12, 12]",32
"[11, 14, 12, 15]",6,"[4, 0, 6, 2]",4
"[2, 15, 3, 16]",0,"[0, 0, 16, 16]",256
"[6, 9, 7, 10]",4,"[6, 6, 10, 10]",16
"[0, 14, 1, 15]",0,"[0, 0, 16, 16]",256
"[14, 0, 15, 1]",1,"[8, 0, 16, 16]",128
"[6, 9, 7, 10]",4,"[6, 6, 10, 10]",16
"[3, 9, 4, 10]",0,"[0, 0, 16, 16]",256
"[4, 13, 5, 14]",2,"[4, 8, 12, 16]",64
"[15, 2, 16, 3]",1,"[8, 0, 16, 16]",128
"[15, 7, 16, 8]",6,"[8, 0, 10, 2]",4
"[12, 8, 13, 9]",6,"[11, 6, 13, 8]",4
"[0, 3, 1, 4]",0,"[0, 0, 16, 16]",256
"[8, 1, 9, 2]",1,"[4, 0, 12, 16]",128
"[0, 8, 1, 9]",0,"[0, 0, 16, 16]",256
"[12, 12, 13, 13]",6,"[11, 10, 13, 12]",4
"[14, 3, 15, 4]",1,"[8, 0, 16, 16]",128
"[8, 11, 9, 12]",6,"[4, 4, 6, 6]",4
"[9, 6, 10, 7]",5,"[8, 6, 10, 10]",8
"[2, 1, 3, 2]",0,"[0, 0, 16, 16]",256
"[2, 8, 3, 9]",0,"[0, 0, 16, 16]",256
"[9, 10, 10, 11]",6,"[6, 4, 8, 6]",4
"[3, 7, 4, 8]",0,"[0, 0, 16, 16]",256
"[5, 2, 6, 3]",1,"[4, 0, 12, 16]",128
"[13, 9, 14, 10]",6,"[10, 4, 12, 6]",4
"[9, 4, 10, 5]",3,"[6, 4, 10, 12]",32
"[6, 3, 7, 4]",1,"[4, 0, 12, 16]",128
"[13, 12, 14, 13]",6,"[10, 8, 12, 10]",4
"[8, 9, 9, 10]",6,"[6, 6, 8, 8]",4
"[14, 11, 15, 12]",6,"[8, 4, 10, 6]",4
"[4, 5, 5, 6]",2,"[4, 4, 12, 12]",64
"[3, 3, 4, 4]",0,"[0, 0, 16, 16]",256
"[12, 12, 13, 13]",6,"[11, 10, 13, 12]",4
"[14, 4, 15, 5]",3,"[12, 4, 16, 12]",32
"[9, 11, 10, 12]",6,"[4, 4, 6, 6]",4
"[15, 13, 16, 14]",6,"[8, 0, 10, 2]",4
"[6, 15, 7, 16]",4,"[6, 12, 10, 16]",16
"[15, 10, 16, 11]",6,"[8, 0, 10, 2]",4
"[15, 1, 16, 2]",1,"[8, 0, 16, 16]",128
"[14, 9, 15, 10]",6,"[12, 6, 14, 8]",4
"[4, 15, 5, 16]",2,"[4, 8, 12, 16]",64
"[1, 6, 2, 7]",0,"[0, 0, 16, 16]",256
"[0, 11, 1, 12]",0,"[0, 0, 16, 16]",256
"[15, 12, 16, 13]",6,"[8, 0, 10, 2]",4
"[0, 2, 1, 3]",0,"[0, 0, 16, 16]",256
"[2, 12, 3, 13]",0,"[0, 0, 16, 16]",256
"[0, 11, 1, 12]",0,"[0, 0, 16, 16]",256
"[1, 3, 2, 4]",0,"[0, 0, 16, 16]",256
"[0, 8, 1, 9]",0,"[0, 0, 16, 16]",256
"[9, 7, 10, 8]",6,"[6, 4, 8, 6]",4
"[4, 9, 5, 10]",2,"[4, 4, 12, 12]",64
"[6, 3, 7, 4]",1,"[4, 0, 12, 16]",128
"[13, 14, 14, 15]",6,"[10, 8, 12, 10]",4
"[10, 12, 11, 13]",6,"[9, 10, 11, 12]",4
"[5, 10, 6, 11]",2,"[4, 4, 12, 12]",64
"[13, 13, 14, 14]",6,"[10, 8, 12, 10]",4
"[4, 14, 5, 15]",2,"[4, 8, 12, 16]",64
"[4, 10, 5, 11]",2,"[4, 4, 12, 12]",64
"[4, 6, 5, 7]",2,"[4, 4, 12, 12]",64
"[5, 14, 6, 15]",2,"[4, 8, 12, 16]",64
"[11, 12, 12, 13]",6,"[4, 0, 6, 2]",4
"[13, 15, 14, 16]",6,"[0, 0, 2, 2]",4
"[12, 7, 13, 8]",6,"[11, 6, 13, 8]",4
"[6, 14, 7, 15]",4,"[6, 12, 10, 16]",16
"[6, 1, 7, 2]",1,"[4, 0, 12, 16]",128
"[12, 1, 13, 2]",1,"[8, 0, 16, 16]",128
"[7, 2, 8, 3]",1,"[4, 0, 12, 16]",128
"[5, 11, 6, 12]",2,"[4, 4, 12, 12]",64
"[1, 5, 2, 6]",0,"[0, 0, 16, 16]",256
"[7, 9, 8, 10]",6,"[6, 6, 8, 8]",4
"[2, 9, 3, 10]",0,"[0, 0, 16, 16]",256
"[11, 13, 12, 14]",6,"[4, 0, 6, 2]",4
"[14, 1, 15, 2]",1,"[8, 0, 16, 16]",128
"[13, 14, 14, 15]",6,"[10, 8, 12, 10]",4
"[15, 8, 16, 9]",6,"[8, 0, 10, 2]",4
"[15, 6, 16, 7]",5,"[14, 6, 16, 10]",8
"[10, 8, 11, 9]",6,"[9, 6, 11, 8]",4
"[1, 1, 2, 2]",0,"[0, 0, 16, 16]",256
"[1, 5, 2, 6]",0,"[0, 0, 16, 16]",256
"[11, 0, 12, 1]",1,"[4, 0, 12, 16]",128
"[9, 0, 10, 1]",1,"[4, 0, 12, 16]",128
"[4, 2, 5, 3]",1,"[4, 0, 12, 16]",128
"[13, 7, 14, 8]",6,"[10, 4, 12, 6]",4
"[12, 7, 13, 8]",6,"[11, 6, 13, 8]",4
"[14, 6, 15, 7]",5,"[13, 6, 15, 10]",8
"[10, 3, 11, 4]",1,"[4, 0, 12, 16]",128
"[2, 10, 3, 11]",0,"[0, 0, 16, 16]",256
"[10, 14, 11, 15]",6,"[9, 12, 11, 14]",4
"[10, 8, 11, 9]",6,"[9, 6, 11, 8]",4
"[0, 1, 1, 2]",0,"[0, 0, 16, 16]",256
"[6, 11, 7, 12]",4,"[6, 8, 10, 12]",16
"[2, 6, 3, 7]",0,"[0, 0, 16, 16]",256
"[11, 6, 12, 7]",5,"[10, 6, 12, 10]",8
"[6, 8, 7, 9]",4,"[6, 6, 10, 10]",16
"[9, 9, 10, 10]",6,"[6, 4, 8, 6]",4
"[12, 8, 13, 9]",6,"[11, 6, 13, 8]",4
"[15, 11, 16, 12]",6,"[8, 0, 10, 2]",4
"[7, 1, 8, 2]",1,"[4, 0, 12, 16]",128
"[9, 2, 10, 3]",1,"[4, 0, 12, 16]",128
"[0, 14, 1, 15]",0,"[0, 0, 16, 16]",256
"[15, 14, 16, 15]",6,"[8, 0, 10, 2]",4
"[1, 13, 2, 14]",0,"[0, 0, 16, 16]",256
"[15, 14, 16, 15]",6,"[8, 0, 10, 2]",4
"[14, 3, 15, 4]",1,"[8, 0, 16, 16]",128
"[2, 2, 3, 3]",0,"[0, 0, 16, 16]",256
"[7, 3, 8, 4]",1,"[4, 0, 12, 16]",128
"[4, 13, 5, 14]",2,"[4, 8, 12, 16]",64
"[6, 14, 7, 15]",4,"[6, 12, 10, 16]",16
"[2, 13, 3, 14]",0,"[0, 0, 16, 16]",256
"[12, 1, 13, 2]",1,"[8, 0, 16, 16]",128
"[5, 7, 6, 8]",2,"[4, 4, 12, 12]",64
"[15, 7, 16, 8]",6,"[8, 0, 10, 2]",4
"[4, 8, 5, 9]",2,"[4, 4, 12, 12]",64
"[11, 10, 12, 11]",6,"[4, 0, 6, 2]",4
"[13, 3, 14, 4]",1,"[8, 0, 16, 16]",128
"[9, 6, 10, 7]",5,"[8, 6, 10, 10]",8
"[9, 14, 10, 15]",6,"[6, 8, 8, 10]",4
"[14, 8, 15, 9]",6,"[13, 6, 15, 8]",4
"[8, 7, 9, 8]",6,"[7, 6, 9, 8]",4
"[0, 3, 1, 4]",0,"[0, 0, 16, 16]",256
"[3, 5, 4, 6]",0,"[0, 0, 16, 16]",256
"[13, 7, 14, 8]",6,"[10, 4, 12, 6]",4
"[6, 9, 7, 10]",4,"[6, 6, 10, 10]",16
"[0, 13, 1, 14]",0,"[0, 0, 16, 16]",256
"[1, 3, 2, 4]",0,"[0, 0, 16, 16]",256
"[12, 8, 13, 9]",6,"[11, 6, 13, 8]",4
"[3, 11, 4, 12]",0,"[0, 0, 16, 16]",256
"[7, 9, 8, 10]",6,"[6, 6, 8, 8]",4
"[7, 7, 8, 8]",6,"[7, 7, 9, 9]",4
"[2, 9, 3, 10]",0,"[0, 0, 16, 16]",256
"[10, 7, 11, 8]",6,"[9, 6, 11, 8]",4
"[11, 15, 12, 16]",6,"[0, 0, 2, 2]",4
"[9, 5, 10, 6]",3,"[6, 4, 10, 12]",32
"[4, 0, 5, 1]",1,"[4, 0, 12, 16]",128
"[10, 11, 11, 12]",6,"[4, 4, 6, 6]",4
"[0, 4, 1, 5]",0,"[0, 0, 16, 16]",256
"[12, 4, 13, 5]",3,"[10, 4, 14, 12]",32
"[5, 2, 6, 3]",1,"[4, 0, 12, 16]",128
"[4, 6, 5, 7]",2,"[4, 4, 12, 12]",64
"[15, 6, 16, 7]",5,"[14, 6, 16, 10]",8
"[7, 4, 8, 5]",3,"[6, 4, 10, 12]",32
"[7, 12, 8, 13]",6,"[7, 11, 9, 13]",4
"[11, 4, 12, 5]",3,"[8, 4, 12, 12]",32
"[15, 3, 16, 4]",1,"[8, 0, 16, 16]",128
"[0, 11, 1, 12]",0,"[0, 0, 16, 16]",256
