SRC_random Query: Small,Depth,BBoxes,Data Size
"[2, 4, 3, 5]",6,"[2, 4, 4, 6]",4
"[15, 12, 16, 13]",6,"[14, 12, 16, 14]",4
"[8, 8, 9, 9]",6,"[8, 7, 10, 9]",4
"[10, 12, 11, 13]",6,"[9, 12, 11, 14]",4
"[12, 13, 13, 14]",6,"[12, 12, 14, 14]",4
"[15, 13, 16, 14]",6,"[14, 12, 16, 14]",4
"[11, 15, 12, 16]",6,"[10, 14, 12, 16]",4
"[12, 1, 13, 2]",6,"[12, 1, 14, 3]",4
"[6, 11, 7, 12]",6,"[5, 10, 7, 12]",4
"[13, 12, 14, 13]",6,"[12, 12, 14, 14]",4
"[4, 6, 5, 7]",6,"[4, 6, 6, 8]",4
"[9, 10, 10, 11]",6,"[9, 10, 11, 12]",4
"[4, 12, 5, 13]",6,"[4, 12, 6, 14]",4
"[9, 13, 10, 14]",6,"[8, 12, 10, 14]",4
"[6, 3, 7, 4]",6,"[6, 2, 8, 4]",4
"[3, 11, 4, 12]",6,"[2, 11, 4, 13]",4
"[15, 7, 16, 8]",6,"[14, 6, 16, 8]",4
"[6, 14, 7, 15]",6,"[6, 13, 8, 15]",4
"[14, 1, 15, 2]",6,"[13, 1, 15, 3]",4
"[1, 15, 2, 16]",6,"[1, 14, 3, 16]",4
"[5, 7, 6, 8]",6,"[5, 6, 7, 8]",4
"[2, 15, 3, 16]",6,"[2, 14, 4, 16]",4
"[3, 9, 4, 10]",6,"[2, 8, 4, 10]",4
"[6, 0, 7, 1]",6,"[6, 0, 8, 2]",4
"[10, 3, 11, 4]",6,"[10, 3, 12, 5]",4
"[7, 0, 8, 1]",6,"[6, 0, 8, 2]",4
"[13, 7, 14, 8]",6,"[12, 6, 14, 8]",4
"[15, 11, 16, 12]",6,"[14, 10, 16, 12]",4
"[15, 7, 16, 8]",6,"[14, 7, 16, 9]",4
"[9, 3, 10, 4]",6,"[8, 3, 10, 5]",4
"[7, 5, 8, 6]",6,"[6, 5, 8, 7]",4
"[14, 14, 15, 15]",6,"[13, 14, 15, 16]",4
"[0, 2, 1, 3]",6,"[0, 1, 2, 3]",4
"[1, 13, 2, 14]",6,"[0, 12, 2, 14]",4
"[5, 11, 6, 12]",6,"[4, 10, 6, 12]",4
"[4, 3, 5, 4]",6,"[4, 2, 6, 4]",4
"[2, 5, 3, 6]",6,"[2, 4, 4, 6]",4
"[13, 6, 14, 7]",6,"[13, 6, 15, 8]",4
"[10, 14, 11, 15]",6,"[9, 14, 11, 16]",4
"[0, 4, 1, 5]",6,"[0, 4, 2, 6]",4
"[3, 3, 4, 4]",6,"[2, 3, 4, 5]",4
"[10, 4, 11, 5]",6,"[10, 4, 12, 6]",4
"[14, 7, 15, 8]",6,"[14, 6, 16, 8]",4
"[12, 14, 13, 15]",6,"[12, 14, 14, 16]",4
"[4, 7, 5, 8]",6,"[4, 6, 6, 8]",4
"[6, 9, 7, 10]",6,"[5, 9, 7, 11]",4
"[5, 14, 6, 15]",6,"[4, 13, 6, 15]",4
"[12, 1, 13, 2]",6,"[12, 0, 14, 2]",4
"[15, 6, 16, 7]",6,"[14, 5, 16, 7]",4
"[0, 1, 1, 2]",6,"[0, 0, 2, 2]",4
"[13, 9, 14, 10]",6,"[12, 9, 14, 11]",4
"[14, 12, 15, 13]",6,"[13, 11, 15, 13]",4
"[3, 4, 4, 5]",6,"[2, 4, 4, 6]",4
"[12, 6, 13, 7]",6,"[12, 5, 14, 7]",4
"[15, 9, 16, 10]",6,"[14, 8, 16, 10]",4
"[13, 11, 14, 12]",6,"[12, 10, 14, 12]",4
"[4, 14, 5, 15]",6,"[4, 14, 6, 16]",4
"[12, 10, 13, 11]",6,"[11, 10, 13, 12]",4
"[15, 2, 16, 3]",6,"[14, 2, 16, 4]",4
"[13, 4, 14, 5]",6,"[12, 4, 14, 6]",4
"[8, 8, 9, 9]",6,"[8, 8, 10, 10]",4
