SRC_middle Query: Large,Depth,# Hops,BBoxes,Data Size
"[26561, 328861, 166408, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[252581, 210850, 392428, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[248703, 32775, 388550, 172622]",1,1,"[69337, 9783, 474275, 219328]",309
"[61322, 254998, 201169, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[87477, 18722, 227324, 158569]",1,1,"[69337, 9783, 474275, 219328]",309
"[25138, 321798, 164985, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[331812, 77691, 471659, 217538]",1,1,"[69337, 9783, 474275, 219328]",309
"[177939, 63320, 317786, 203167]",1,1,"[69337, 9783, 474275, 219328]",309
"[296026, 189870, 435873, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[110339, 209136, 250186, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[265185, 66311, 405032, 206158]",1,1,"[69337, 9783, 474275, 219328]",309
"[39658, 327995, 179505, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[253058, 330203, 392905, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[185255, 73298, 325102, 213145]",1,1,"[69337, 9783, 474275, 219328]",309
"[334243, 163508, 474090, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[74758, 211354, 214605, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[162154, 71845, 302001, 211692]",1,1,"[69337, 9783, 474275, 219328]",309
"[280226, 107274, 420073, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[28136, 213651, 167983, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[241204, 202932, 381051, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[107982, 246914, 247829, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[195053, 47616, 334900, 187463]",1,1,"[69337, 9783, 474275, 219328]",309
"[31521, 29078, 171368, 168925]",0,0,"[8117, 9783, 474275, 219328]",617
"[263007, 142012, 402854, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[22092, 280779, 161939, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[306571, 307903, 446418, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[121352, 128522, 261199, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[57125, 271526, 196972, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[282692, 228376, 422539, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[273986, 168188, 413833, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[67594, 84500, 207441, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[231448, 304870, 371295, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[229396, 52173, 369243, 192020]",1,1,"[69337, 9783, 474275, 219328]",309
"[63043, 226032, 202890, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[41106, 60132, 180953, 199979]",0,0,"[8117, 9783, 474275, 219328]",617
"[225781, 89988, 365628, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[24213, 242326, 164060, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[234130, 226755, 373977, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[23916, 268491, 163763, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[178247, 140544, 318094, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[49293, 192930, 189140, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[44989, 71754, 184836, 211601]",0,0,"[8117, 9783, 474275, 219328]",617
"[196469, 23519, 336316, 163366]",1,1,"[69337, 9783, 474275, 219328]",309
"[189229, 190505, 329076, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[101391, 13341, 241238, 153188]",1,1,"[69337, 9783, 474275, 219328]",309
"[128961, 199902, 268808, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[45088, 320901, 184935, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[83242, 117157, 223089, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[9811, 115486, 149658, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[72703, 11883, 212550, 151730]",1,1,"[69337, 9783, 474275, 219328]",309
"[161871, 201647, 301718, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[21040, 325231, 160887, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[130204, 82506, 270051, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[106154, 246168, 246001, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[67042, 258041, 206889, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[188707, 143498, 328554, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[76357, 22763, 216204, 162610]",1,1,"[69337, 9783, 474275, 219328]",309
"[117231, 198035, 257078, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[183760, 256299, 323607, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[161540, 163487, 301387, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[298155, 179550, 438002, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[104609, 319029, 244456, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[50484, 61898, 190331, 201745]",0,0,"[8117, 9783, 474275, 219328]",617
"[287681, 312649, 427528, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[169473, 90117, 309320, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[205558, 85148, 345405, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[73776, 124937, 213623, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[173735, 274629, 313582, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[135434, 132193, 275281, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[104556, 160716, 244403, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[203394, 228205, 343241, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[32368, 77445, 172215, 217292]",0,0,"[8117, 9783, 474275, 219328]",617
