SRC Query,Depth,BBoxes,Data Size
"[[(14.972505284794464, 15.0), (10.409539816601052, 10.729539816601052)]]",6,"[[14, 15], [10, 11]]",4
"[[(4.48274114369387, 4.80274114369387), (9.274461631386144, 9.594461631386144)]]",5,"[[4, 5], [8, 11]]",8
"[[(10.513033949107562, 10.833033949107563), (5.6804042387210725, 6.000404238721073)]]",5,"[[10, 11], [4, 7]]",8
"[[(0.41711859940427076, 0.7371185994042708), (1.2923787064116323, 1.6123787064116324)]]",5,"[[0, 1], [0, 3]]",8
"[[(3.5154458021449555, 3.8354458021449553), (5.676681568935974, 5.9966815689359745)]]",2,"[[0, 7], [0, 7]]",64
"[[(5.665125650576357, 5.985125650576357), (9.532172463331001, 9.852172463331001)]]",4,"[[4, 7], [8, 11]]",16
"[[(0.0, 0.11298563793015548), (12.590408738193325, 12.910408738193325)]]",6,"[[0, 1], [12, 13]]",4
"[[(2.1014407499787024, 2.4214407499787023), (8.788031462140705, 9.108031462140705)]]",5,"[[2, 3], [8, 11]]",8
"[[(6.61589072257208, 6.93589072257208), (3.2888784332248306, 3.6088784332248305)]]",3,"[[4, 7], [0, 7]]",32
"[[(11.091769718391982, 11.411769718391982), (6.202096099579422, 6.522096099579422)]]",2,"[[8, 15], [0, 7]]",64
"[[(1.2205819092836432, 1.5405819092836432), (3.922068502379222, 4.242068502379222)]]",3,"[[0, 3], [0, 7]]",32
"[[(9.849979990513113, 10.169979990513113), (2.156850775130185, 2.4768507751301847)]]",4,"[[8, 11], [0, 3]]",16
"[[(13.71580422891033, 14.03580422891033), (1.4387267613779415, 1.7587267613779416)]]",4,"[[12, 15], [0, 3]]",16
"[[(14.100899732888415, 14.420899732888415), (5.014029649815703, 5.334029649815704)]]",5,"[[14, 15], [4, 7]]",8
"[[(5.952839733603911, 6.272839733603911), (2.7934394948668864, 3.113439494866886)]]",3,"[[4, 7], [0, 7]]",32
