,Laenge,Breite
3057,9.201666667,52.33611111
3059,8.915555556,52.28972222
3060,8.950833333,52.28583333
3061,8.932777778,52.25444444
3062,8.921388889,52.24666667
3064,8.936111111,52.24166667
3065,8.842222222,52.21138889
3067,8.796944444,52.20472222
3068,8.793055556,52.20388889
3069,8.734444444,52.19888889
3070,8.528055556,52.0275
3071,8.530277778,52.01888889
3072,8.514444444,52.01111111
3073,8.285555556,51.85361111
3074,8.273333333,51.85472222
3075,8.203888889,51.84138889
3076,7.913888889,51.76972222
3077,7.893888889,51.76083333
3078,7.833611111,51.70472222
3079,7.81,51.69055556
3082,7.792222222,51.68888889
3085,7.813333333,51.67916667
3090,7.752222222,51.70416667
3091,7.735833333,51.76111111
3092,7.651666667,51.90138889
3095,7.676666667,51.97194444
3099,7.698888889,51.9875
3100,7.780555556,51.98055556
3178,7.794166667,51.98722222
3401,7.810277778,51.91722222
3402,7.772222222,51.94388889
3404,7.719444444,51.93
3406,7.705833333,51.93833333
3407,7.666388889,51.95
3409,7.649722222,51.95166667
3412,7.643333333,51.95583333
3414,7.634722222,51.95972222
3415,7.638055556,51.94916667
3421,7.691111111,51.83527778
3438,7.859166667,51.73083333
3439,8.033888889,51.80388889
3440,8.077777778,51.81777778
3442,8.374166667,51.89416667
3444,8.453333333,51.97111111
3447,8.534166667,52.02944444
3449,8.565833333,52.03555556
3450,8.569166667,52.03944444
3451,8.591666667,52.05222222
3452,8.632777778,52.10083333
3453,8.666666667,52.15166667
3454,8.716111111,52.19861111
3456,8.760277778,52.20972222
3457,8.776111111,52.20138889
3459,8.811944444,52.20305556
3460,8.877777778,52.22527778
3464,9.0475,52.26527778
3465,9.065833333,52.26777778
3466,9.135277778,52.26888889
3467,9.180277778,52.32888889
3468,9.283333333,52.35361111
3471,9.490277778,52.41416667
3477,9.598333333,52.38972222
3479,9.801944444,52.37972222
3480,9.854166667,52.36027778
3481,9.971111111,52.37083333
3482,10.00027778,52.38611111
3484,10.79416667,52.43388889
3485,10.99916667,52.43722222
3488,12.33805556,52.58638889
3494,12.94333333,52.54638889
3495,12.97888889,52.53972222
3496,12.96666667,52.5075
3497,12.98194444,52.41138889
3501,13.06,52.39388889
3503,13.08194444,52.39444444
3505,13.10444444,52.38555556
3506,13.12888889,52.39194444
3508,13.17888889,52.42027778
3509,13.34416667,52.50805556
3510,13.345,52.51944444
3637,13.40861111,52.51416667
3655,13.42,52.52
