SRC_random Query: Large,Depth,BBoxes,Data Size
"[4, 20, 13, 29]",2,"[0, 16, 16, 32]",256
"[16, 20, 25, 29]",2,"[16, 16, 32, 32]",256
"[20, 11, 29, 20]",2,"[16, 8, 32, 24]",256
"[3, 4, 12, 13]",2,"[0, 0, 16, 16]",256
"[8, 0, 17, 9]",2,"[8, 0, 24, 16]",256
"[1, 1, 10, 10]",2,"[0, 0, 16, 16]",256
"[6, 21, 15, 30]",2,"[0, 16, 16, 32]",256
"[8, 17, 17, 26]",2,"[8, 16, 24, 32]",256
"[10, 11, 19, 20]",2,"[8, 8, 24, 24]",256
"[18, 1, 27, 10]",2,"[16, 0, 32, 16]",256
"[23, 22, 32, 31]",2,"[16, 16, 32, 32]",256
"[19, 20, 28, 29]",2,"[16, 16, 32, 32]",256
"[15, 22, 24, 31]",2,"[8, 16, 24, 32]",256
"[20, 14, 29, 23]",2,"[16, 8, 32, 24]",256
"[20, 13, 29, 22]",2,"[16, 8, 32, 24]",256
"[11, 17, 20, 26]",2,"[8, 16, 24, 32]",256
"[5, 6, 14, 15]",2,"[0, 0, 16, 16]",256
"[12, 18, 21, 27]",2,"[8, 16, 24, 32]",256
"[9, 0, 18, 9]",2,"[8, 0, 24, 16]",256
"[4, 4, 13, 13]",2,"[0, 0, 16, 16]",256
"[8, 10, 17, 19]",2,"[8, 8, 24, 24]",256
"[10, 11, 19, 20]",2,"[8, 8, 24, 24]",256
"[22, 2, 31, 11]",2,"[16, 0, 32, 16]",256
"[10, 19, 19, 28]",2,"[8, 16, 24, 32]",256
"[1, 1, 10, 10]",2,"[0, 0, 16, 16]",256
"[8, 5, 17, 14]",2,"[8, 0, 24, 16]",256
"[4, 18, 13, 27]",2,"[0, 16, 16, 32]",256
"[9, 11, 18, 20]",2,"[8, 8, 24, 24]",256
"[12, 17, 21, 26]",2,"[8, 16, 24, 32]",256
"[4, 9, 13, 18]",2,"[0, 8, 16, 24]",256
"[3, 15, 12, 24]",2,"[0, 8, 16, 24]",256
"[23, 7, 32, 16]",2,"[16, 0, 32, 16]",256
"[1, 9, 10, 18]",2,"[0, 8, 16, 24]",256
"[5, 16, 14, 25]",2,"[0, 16, 16, 32]",256
"[23, 2, 32, 11]",2,"[16, 0, 32, 16]",256
"[9, 12, 18, 21]",2,"[8, 8, 24, 24]",256
"[10, 9, 19, 18]",2,"[8, 8, 24, 24]",256
"[13, 3, 22, 12]",2,"[8, 0, 24, 16]",256
"[3, 17, 12, 26]",2,"[0, 16, 16, 32]",256
"[15, 15, 24, 24]",2,"[8, 8, 24, 24]",256
"[10, 10, 19, 19]",2,"[8, 8, 24, 24]",256
"[3, 15, 12, 24]",2,"[0, 8, 16, 24]",256
"[3, 22, 12, 31]",2,"[0, 16, 16, 32]",256
"[15, 13, 24, 22]",2,"[8, 8, 24, 24]",256
"[1, 9, 10, 18]",2,"[0, 8, 16, 24]",256
"[10, 23, 19, 32]",2,"[8, 16, 24, 32]",256
"[21, 4, 30, 13]",2,"[16, 0, 32, 16]",256
"[5, 20, 14, 29]",2,"[0, 16, 16, 32]",256
"[18, 12, 27, 21]",2,"[16, 8, 32, 24]",256
"[20, 2, 29, 11]",2,"[16, 0, 32, 16]",256
"[2, 2, 11, 11]",2,"[0, 0, 16, 16]",256
"[6, 23, 15, 32]",2,"[0, 16, 16, 32]",256
"[7, 1, 16, 10]",2,"[0, 0, 16, 16]",256
"[12, 0, 21, 9]",2,"[8, 0, 24, 16]",256
"[3, 12, 12, 21]",2,"[0, 8, 16, 24]",256
"[17, 16, 26, 25]",2,"[16, 16, 32, 32]",256
"[9, 14, 18, 23]",2,"[8, 8, 24, 24]",256
"[15, 18, 24, 27]",2,"[8, 16, 24, 32]",256
"[22, 21, 31, 30]",2,"[16, 16, 32, 32]",256
"[6, 13, 15, 22]",2,"[0, 8, 16, 24]",256
"[2, 11, 11, 20]",2,"[0, 8, 16, 24]",256
"[7, 8, 16, 17]",2,"[0, 8, 16, 24]",256
"[18, 5, 27, 14]",2,"[16, 0, 32, 16]",256
"[13, 6, 22, 15]",2,"[8, 0, 24, 16]",256
"[11, 3, 20, 12]",2,"[8, 0, 24, 16]",256
"[2, 22, 11, 31]",2,"[0, 16, 16, 32]",256
"[0, 16, 9, 25]",2,"[0, 16, 16, 32]",256
"[14, 21, 23, 30]",2,"[8, 16, 24, 32]",256
"[6, 3, 15, 12]",2,"[0, 0, 16, 16]",256
"[15, 12, 24, 21]",2,"[8, 8, 24, 24]",256
"[8, 6, 17, 15]",2,"[8, 0, 24, 16]",256
"[20, 1, 29, 10]",2,"[16, 0, 32, 16]",256
"[6, 19, 15, 28]",2,"[0, 16, 16, 32]",256
"[4, 3, 13, 12]",2,"[0, 0, 16, 16]",256
"[6, 14, 15, 23]",2,"[0, 8, 16, 24]",256
"[12, 11, 21, 20]",2,"[8, 8, 24, 24]",256
"[17, 4, 26, 13]",2,"[16, 0, 32, 16]",256
