,BRC Size,SRC Size,Diff,F/P %,Error %,SRC Depth
332,851,5262,4411,6.18331374853114,16.172557962751803,2
333,731,10524,9793,14.39671682626539,6.946028126187762,1
334,2006,10524,8518,5.246261216350947,19.06119346256176,1
335,203,5262,5059,25.92118226600985,3.8578487267198787,2
336,0,1316,1316,inf,0.0,4
337,950,2631,1681,2.7694736842105265,36.107943747624475,3
338,0,1316,1316,inf,0.0,4
339,0,1315,1315,inf,0.0,4
340,1603,2631,1028,1.641297567061759,60.92740402888636,3
341,533,2631,2098,4.936210131332083,20.258456860509312,3
342,93,164,71,1.7634408602150538,56.70731707317073,7
343,804,2631,1827,3.2723880597014925,30.558722919042193,3
344,1080,2631,1551,2.436111111111111,41.04903078677309,3
345,0,1316,1316,inf,0.0,4
346,951,2631,1680,2.7665615141955837,36.14595210946408,3
347,517,1316,799,2.5454545454545454,39.285714285714285,4
348,835,5262,4427,6.301796407185629,15.868491068034968,2
349,977,5262,4285,5.385875127942682,18.5670847586469,2
350,1018,5262,4244,5.168958742632613,19.346256176358796,2
351,1681,2631,950,1.5651397977394408,63.89205625237552,3
352,932,5262,4330,5.645922746781116,17.711896617255796,2
353,0,328,328,inf,0.0,6
354,954,2631,1677,2.757861635220126,36.259977194982895,3
355,707,2631,1924,3.721357850070721,26.87191182060053,3
356,388,657,269,1.693298969072165,59.05631659056316,5
357,794,5262,4468,6.6272040302267,15.089319650323072,2
358,0,5262,5262,inf,0.0,2
359,0,329,329,inf,0.0,6
360,1686,2631,945,1.5604982206405693,64.08209806157355,3
361,872,2631,1759,3.0172018348623855,33.14329152413531,3
362,0,329,329,inf,0.0,6
363,661,5262,4601,7.960665658093797,12.561763587989358,2
364,0,328,328,inf,0.0,6
365,432,1315,883,3.0439814814814814,32.85171102661597,4
366,0,1316,1316,inf,0.0,4
367,1531,5262,3731,3.4369693011103855,29.095400988217406,2
368,0,1315,1315,inf,0.0,4
369,754,5262,4508,6.978779840848806,14.329152413530977,2
370,302,5262,4960,17.423841059602648,5.739262637780311,2
371,1064,2631,1567,2.4727443609022557,40.440896997339415,3
372,0,5262,5262,inf,0.0,2
373,634,2631,1997,4.149842271293376,24.097301406309388,3
374,0,1316,1316,inf,0.0,4
375,0,329,329,inf,0.0,6
376,0,1316,1316,inf,0.0,4
377,1092,5262,4170,4.818681318681318,20.752565564424174,2
378,489,2631,2142,5.380368098159509,18.586088939566707,3
379,0,2,2,inf,0.0,13
380,1269,2631,1362,2.0732860520094563,48.23261117445838,3
381,590,1316,726,2.230508474576271,44.83282674772037,4
382,0,5262,5262,inf,0.0,2
383,865,5262,4397,6.083236994219654,16.438616495629038,2
384,1060,2631,1571,2.482075471698113,40.288863549980995,3
385,443,5262,4819,11.878103837471784,8.418852147472444,2
386,0,1316,1316,inf,0.0,4
387,424,10524,10100,24.82075471698113,4.028886354998099,1
388,0,1316,1316,inf,0.0,4
389,985,5262,4277,5.342131979695432,18.719118206005323,2
390,1042,5262,4220,5.049904030710173,19.802356518434056,2
391,1533,5262,3729,3.432485322896282,29.13340935005701,2
392,65,1315,1250,20.23076923076923,4.942965779467681,4
393,1485,10524,9039,7.086868686868687,14.11060433295325,1
394,0,1316,1316,inf,0.0,4
395,1362,2631,1269,1.9317180616740088,51.767388825541616,3
396,0,1316,1316,inf,0.0,4
397,1257,2631,1374,2.0930787589498805,47.776510832383124,3
398,0,1316,1316,inf,0.0,4
399,165,1316,1151,7.975757575757576,12.537993920972646,4
400,683,2631,1948,3.8521229868228404,25.95971113645002,3
401,0,2,2,inf,0.0,13
402,0,329,329,inf,0.0,6
403,891,5262,4371,5.905723905723906,16.9327251995439,2
404,725,2631,1906,3.6289655172413795,27.556062333713417,3
405,1301,10524,9223,8.089162182936203,12.362219688331432,1
406,735,2631,1896,3.5795918367346937,27.936145952109463,3
407,1344,10524,9180,7.830357142857143,12.770809578107183,1
408,1203,5262,4059,4.3740648379052365,22.862029646522235,2
409,1003,10524,9521,10.492522432701895,9.53059673128088,1
410,0,1316,1316,inf,0.0,4
411,0,1315,1315,inf,0.0,4
412,0,1316,1316,inf,0.0,4
413,2088,5262,3174,2.5201149425287355,39.68072976054732,2
414,838,2631,1793,3.139618138424821,31.851007221588752,3
415,621,10524,9903,16.946859903381643,5.900798175598632,1
416,0,1316,1316,inf,0.0,4
417,1428,2631,1203,1.8424369747899159,54.27594070695553,3
418,382,1315,933,3.4424083769633507,29.04942965779468,4
419,650,5262,4612,8.095384615384615,12.352717597871532,2
420,0,1316,1316,inf,0.0,4
421,347,658,311,1.8962536023054755,52.735562310030396,5
422,1163,2631,1468,2.2622527944969906,44.203724819460284,3
423,1161,5262,4101,4.532299741602067,22.063854047890537,2
424,0,82,82,inf,0.0,8
425,1111,10524,9413,9.472547254725473,10.55682250095021,1
426,0,328,328,inf,0.0,6
427,715,2631,1916,3.67972027972028,27.175978715317367,3
428,486,5262,4776,10.82716049382716,9.236031927023944,2
429,0,1316,1316,inf,0.0,4
430,627,1316,689,2.0988835725677832,47.64437689969605,4
431,0,5262,5262,inf,0.0,2
432,318,5262,4944,16.547169811320753,6.043329532497149,2
433,1611,10524,8913,6.532588454376164,15.307867730900798,1
434,1011,2631,1620,2.602373887240356,38.42645381984037,3
435,414,1316,902,3.178743961352657,31.458966565349545,4
436,492,2631,2139,5.347560975609756,18.70011402508552,3
437,0,5262,5262,inf,0.0,2
438,485,2631,2146,5.424742268041237,18.434055492208287,3
439,0,1316,1316,inf,0.0,4
440,0,1315,1315,inf,0.0,4
441,0,329,329,inf,0.0,6
442,0,1316,1316,inf,0.0,4
443,1332,10524,9192,7.900900900900901,12.656784492588368,1
444,1369,5262,3893,3.843681519357195,26.016723679209424,2
445,1568,5262,3694,3.3558673469387754,29.798555682250093,2
446,0,1316,1316,inf,0.0,4
447,0,1316,1316,inf,0.0,4
448,0,1316,1316,inf,0.0,4
449,0,328,328,inf,0.0,6
450,607,5262,4655,8.668863261943986,11.535537818320032,2
451,0,2,2,inf,0.0,13
452,695,1315,620,1.8920863309352518,52.851711026615966,4
453,1373,5262,3889,3.8324836125273123,26.092740402888637,2
454,0,328,328,inf,0.0,6
455,709,5262,4553,7.421720733427362,13.47396427213987,2
