SRC_middle Query: Small,Depth,# Hops,BBoxes,Data Size
"[22, 24, 28, 30]",6,6,"[20, 24, 28, 32]",64
"[53, 42, 59, 48]",6,6,"[52, 40, 60, 48]",64
"[16, 9, 22, 15]",6,6,"[16, 8, 24, 16]",64
"[35, 44, 41, 50]",4,4,"[32, 40, 48, 56]",256
"[0, 29, 6, 35]",6,6,"[0, 28, 8, 36]",64
"[47, 5, 53, 11]",4,4,"[40, 0, 56, 16]",256
"[21, 47, 27, 53]",5,5,"[20, 40, 28, 56]",128
"[2, 34, 8, 40]",6,6,"[0, 32, 8, 40]",64
"[17, 8, 23, 14]",6,6,"[16, 8, 24, 16]",64
"[15, 48, 21, 54]",4,4,"[8, 40, 24, 56]",256
"[30, 22, 36, 28]",6,6,"[28, 20, 36, 28]",64
"[39, 18, 45, 24]",4,4,"[32, 16, 48, 32]",256
"[43, 22, 49, 28]",4,4,"[40, 16, 56, 32]",256
"[37, 57, 43, 63]",6,6,"[36, 56, 44, 64]",64
"[40, 54, 46, 60]",6,6,"[40, 52, 48, 60]",64
"[39, 8, 45, 14]",4,4,"[32, 8, 48, 24]",256
"[45, 19, 51, 25]",5,5,"[44, 16, 52, 32]",128
"[24, 47, 30, 53]",5,5,"[24, 40, 32, 56]",128
"[26, 53, 32, 59]",6,6,"[24, 52, 32, 60]",64
"[41, 5, 47, 11]",6,6,"[40, 4, 48, 12]",64
"[0, 38, 6, 44]",6,6,"[0, 36, 8, 44]",64
"[12, 44, 18, 50]",6,6,"[12, 44, 20, 52]",64
"[21, 10, 27, 16]",6,6,"[20, 8, 28, 16]",64
"[15, 14, 21, 20]",4,4,"[8, 8, 24, 24]",256
"[40, 28, 46, 34]",6,6,"[40, 28, 48, 36]",64
"[24, 45, 30, 51]",6,6,"[24, 44, 32, 52]",64
"[56, 43, 62, 49]",5,5,"[56, 40, 64, 56]",128
"[36, 55, 42, 61]",5,5,"[36, 48, 44, 64]",128
"[26, 2, 32, 8]",6,6,"[24, 0, 32, 8]",64
"[25, 55, 31, 61]",5,5,"[24, 48, 32, 64]",128
"[44, 36, 50, 42]",6,6,"[44, 36, 52, 44]",64
"[26, 49, 32, 55]",6,6,"[24, 48, 32, 56]",64
"[42, 45, 48, 51]",6,6,"[40, 44, 48, 52]",64
"[2, 10, 8, 16]",6,6,"[0, 8, 8, 16]",64
"[28, 4, 34, 10]",6,6,"[28, 4, 36, 12]",64
"[16, 44, 22, 50]",6,6,"[16, 44, 24, 52]",64
"[10, 28, 16, 34]",6,6,"[8, 28, 16, 36]",64
"[33, 56, 39, 62]",6,6,"[32, 56, 40, 64]",64
"[31, 58, 37, 64]",4,4,"[24, 48, 40, 64]",256
"[35, 38, 41, 44]",4,4,"[32, 32, 48, 48]",256
"[48, 0, 54, 6]",6,6,"[48, 0, 56, 8]",64
"[56, 2, 62, 8]",6,6,"[56, 0, 64, 8]",64
"[31, 20, 37, 26]",4,4,"[24, 16, 40, 32]",256
"[19, 53, 25, 59]",4,4,"[16, 48, 32, 64]",256
"[29, 3, 35, 9]",5,5,"[28, 0, 36, 16]",128
"[51, 52, 57, 58]",4,4,"[48, 48, 64, 64]",256
"[56, 51, 62, 57]",5,5,"[56, 48, 64, 64]",128
"[26, 12, 32, 18]",6,6,"[24, 12, 32, 20]",64
"[35, 40, 41, 46]",4,4,"[32, 32, 48, 48]",256
"[5, 53, 11, 59]",6,6,"[4, 52, 12, 60]",64
"[46, 8, 52, 14]",6,6,"[44, 8, 52, 16]",64
