,BRC Size,SRC Size,Diff,F/P %,SRC Depth,Error %
216,376,21048,20672,55.97872340425532,0,1.7863930064614217
217,499,21048,20549,42.18036072144289,0,2.3707715697453438
218,0,5262,5262,inf,2,0.0
219,2519,21048,18529,8.355696705041684,0,11.967882934245534
220,0,1315,1315,inf,4,0.0
221,0,5262,5262,inf,2,0.0
222,2177,10524,8347,4.834175470831419,1,20.686050931204868
223,2300,5262,2962,2.287826086956522,2,43.709616115545415
224,183,2631,2448,14.37704918032787,3,6.955530216647662
225,1752,10524,8772,6.006849315068493,1,16.647662485746864
226,196,21048,20852,107.38775510204081,0,0.9312048650703154
227,10,5262,5252,526.2,2,0.19004180919802355
228,1329,5262,3933,3.959367945823928,2,25.256556442417335
229,629,5262,4633,8.365659777424483,2,11.953629798555681
230,2227,5262,3035,2.3628199371351593,2,42.32231090839985
231,1342,10524,9182,7.842026825633383,1,12.751805397187383
232,232,5262,5030,22.68103448275862,2,4.4089699733941465
233,230,657,427,2.856521739130435,5,35.0076103500761
234,0,5262,5262,inf,2,0.0
235,504,1315,811,2.609126984126984,4,38.326996197718636
236,334,1315,981,3.937125748502994,4,25.39923954372624
237,673,21048,20375,31.27488855869242,0,3.1974534397567465
238,1431,21048,19617,14.70859538784067,0,6.798745724059294
239,507,21048,20541,41.514792899408285,0,2.4087799315849487
240,0,5262,5262,inf,2,0.0
241,143,329,186,2.300699300699301,6,43.46504559270517
242,938,1315,377,1.4019189765458422,4,71.33079847908745
243,2140,21048,18908,9.835514018691589,0,10.167236792094261
244,1415,21048,19633,14.874911660777386,0,6.722729000380083
245,0,5262,5262,inf,2,0.0
246,1215,21048,19833,17.32345679012346,0,5.772519954389966
247,3302,10524,7222,3.187159297395518,1,31.375902698593688
248,0,1316,1316,inf,4,0.0
249,428,21048,20620,49.177570093457945,0,2.033447358418852
250,1497,5262,3765,3.5150300601202407,2,28.44925883694413
251,942,5262,4320,5.585987261146497,2,17.90193842645382
252,2415,21048,18633,8.715527950310559,0,11.473774230330672
253,1802,5262,3460,2.9200887902330743,2,34.24553401748385
254,1125,10524,9399,9.354666666666667,1,10.689851767388825
255,821,2631,1810,3.2046285018270404,3,31.204865070315467
256,2161,10524,8363,4.869967607589079,1,20.534017483846444
257,3170,10524,7354,3.3198738170347,1,30.121626757886734
258,0,5262,5262,inf,2,0.0
259,1415,5262,3847,3.7187279151943464,2,26.89091600152033
260,1715,21048,19333,12.272886297376093,0,8.148042569365261
261,1595,5262,3667,3.2990595611285265,2,30.31166856708476
262,0,5262,5262,inf,2,0.0
263,2291,5262,2971,2.296813618507202,2,43.5385784872672
264,50,5262,5212,105.24,2,0.9502090459901178
265,519,21048,20529,40.554913294797686,0,2.465792474344356
266,0,1315,1315,inf,4,0.0
267,0,1315,1315,inf,4,0.0
268,305,21048,20743,69.00983606557377,0,1.4490687951349297
269,1512,10524,9012,6.9603174603174605,1,14.367160775370582
270,0,2,2,inf,13,0.0
271,868,21048,20180,24.24884792626728,0,4.123907259597112
272,3359,10524,7165,3.133075320035725,1,31.917521854808058
273,1802,21048,19246,11.680355160932297,0,8.561383504370962
274,1067,21048,19981,19.726335520149952,0,5.069365260357279
275,981,2631,1650,2.6819571865443423,3,37.28620296465222
276,1243,10524,9281,8.466613032984714,1,11.811098441657164
277,3341,10524,7183,3.149955103262496,1,31.746484226529837
278,1127,5262,4135,4.669032830523514,2,21.417711896617256
279,2633,10524,7891,3.9969616407140145,1,25.0190041809198
280,3375,21048,17673,6.2364444444444445,0,16.03477765108324
281,808,5262,4454,6.512376237623762,2,15.355378183200305
282,0,5262,5262,inf,2,0.0
283,792,5262,4470,6.643939393939394,2,15.051311288483465
284,459,10524,10065,22.9281045751634,1,4.36145952109464
285,2338,5262,2924,2.2506415739948675,2,44.43177499049791
