SRC_exhaustive Query: Large,Depth,BBoxes,Data Size
"[135393, 204455, 275240, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[307746, 249931, 447593, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[145232, 294304, 285079, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[97878, 243902, 237725, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[218001, 15904, 357848, 155751]",1,"[69337, 9783, 474275, 219328]",309
"[62251, 10599, 202098, 150446]",0,"[8117, 9783, 474275, 219328]",617
"[64288, 180938, 204135, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[117024, 171941, 256871, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[293734, 68430, 433581, 208277]",1,"[69337, 9783, 474275, 219328]",309
"[270796, 166052, 410643, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[56626, 61781, 196473, 201628]",0,"[8117, 9783, 474275, 219328]",617
"[293727, 331347, 433574, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[159473, 40059, 299320, 179906]",1,"[69337, 9783, 474275, 219328]",309
"[137005, 66451, 276852, 206298]",1,"[69337, 9783, 474275, 219328]",309
"[94388, 241199, 234235, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[94925, 94999, 234772, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[252037, 143295, 391884, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[96096, 238728, 235943, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[307455, 22405, 447302, 162252]",1,"[69337, 9783, 474275, 219328]",309
"[302094, 206566, 441941, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[16679, 72447, 156526, 212294]",0,"[8117, 9783, 474275, 219328]",617
"[60778, 170543, 200625, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[51561, 208099, 191408, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[117515, 142592, 257362, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[209360, 128455, 349207, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[250923, 319849, 390770, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[272714, 301585, 412561, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[201064, 105934, 340911, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[231181, 12504, 371028, 152351]",1,"[69337, 9783, 474275, 219328]",309
"[316930, 228804, 456777, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[323986, 130646, 463833, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[156642, 189946, 296489, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[277137, 172659, 416984, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[256053, 253251, 395900, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[140906, 188779, 280753, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[151150, 93999, 290997, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[105899, 124635, 245746, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[250481, 177757, 390328, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[20292, 203316, 160139, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[256769, 334171, 396616, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[158229, 137718, 298076, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[19134, 61550, 158981, 201397]",0,"[8117, 9783, 474275, 219328]",617
"[248914, 279468, 388761, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[103651, 111787, 243498, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[211893, 323546, 351740, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[182060, 297377, 321907, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[77792, 25377, 217639, 165224]",1,"[69337, 9783, 474275, 219328]",309
"[265827, 225142, 405674, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[252957, 239255, 392804, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[200917, 14361, 340764, 154208]",1,"[69337, 9783, 474275, 219328]",309
"[111610, 305440, 251457, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[115087, 43831, 254934, 183678]",1,"[69337, 9783, 474275, 219328]",309
"[265203, 77073, 405050, 216920]",1,"[69337, 9783, 474275, 219328]",309
"[54125, 280228, 193972, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[298546, 220426, 438393, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[329735, 154362, 469582, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[117096, 49386, 256943, 189233]",1,"[69337, 9783, 474275, 219328]",309
"[232550, 20081, 372397, 159928]",1,"[69337, 9783, 474275, 219328]",309
"[293620, 258294, 433467, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[187806, 9783, 327653, 149471]",1,"[69337, 9783, 474275, 219328]",309
"[111760, 331424, 251607, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[162868, 227731, 302715, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[243457, 277510, 383304, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[156779, 41778, 296626, 181625]",1,"[69337, 9783, 474275, 219328]",309
"[28505, 53244, 168352, 193091]",0,"[8117, 9783, 474275, 219328]",617
"[189590, 206777, 329437, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[224392, 207853, 364239, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[129860, 156586, 269707, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[262242, 218116, 402089, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[298464, 9783, 438311, 148309]",1,"[69337, 9783, 474275, 219328]",309
"[236141, 159390, 375988, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[262456, 88861, 402303, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[217352, 234366, 357199, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[215150, 315451, 354997, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[323044, 166439, 462891, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[254367, 295251, 394214, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[201932, 167529, 341779, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[227657, 315250, 367504, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[97207, 189866, 237054, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[27652, 230657, 167499, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[238358, 239257, 378205, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[170836, 42628, 310683, 182475]",1,"[69337, 9783, 474275, 219328]",309
"[127003, 181866, 266850, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[129247, 205633, 269094, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[20719, 185775, 160566, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[89901, 104087, 229748, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[268746, 44358, 408593, 184205]",1,"[69337, 9783, 474275, 219328]",309
"[60329, 101005, 200176, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[324757, 24886, 464604, 164733]",1,"[69337, 9783, 474275, 219328]",309
"[128092, 101957, 267939, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[13313, 280846, 153160, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[237365, 234349, 377212, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[102234, 159866, 242081, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[216181, 239020, 356028, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[171439, 286687, 311286, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[27966, 91685, 167813, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[259164, 90875, 399011, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[64011, 69312, 203858, 209159]",0,"[8117, 9783, 474275, 219328]",617
"[256419, 156399, 396266, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[168162, 166350, 308009, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[213211, 25054, 353058, 164901]",1,"[69337, 9783, 474275, 219328]",309
"[315336, 148206, 455183, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[182086, 249973, 321933, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[43670, 39496, 183517, 179343]",0,"[8117, 9783, 474275, 219328]",617
"[162105, 123332, 301952, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[246553, 170310, 386400, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[295530, 116042, 435377, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[206096, 43791, 345943, 183638]",1,"[69337, 9783, 474275, 219328]",309
"[230388, 29320, 370235, 169167]",1,"[69337, 9783, 474275, 219328]",309
"[30484, 56055, 170331, 195902]",0,"[8117, 9783, 474275, 219328]",617
"[201499, 11824, 341346, 151671]",1,"[69337, 9783, 474275, 219328]",309
"[162566, 170034, 302413, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[38525, 9783, 178372, 148578]",0,"[8117, 9783, 474275, 219328]",617
"[25468, 30715, 165315, 170562]",0,"[8117, 9783, 474275, 219328]",617
"[89818, 319523, 229665, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[96847, 254391, 236694, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[50714, 315092, 190561, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[81125, 18717, 220972, 158564]",1,"[69337, 9783, 474275, 219328]",309
"[302091, 78872, 441938, 218719]",1,"[69337, 9783, 474275, 219328]",309
"[61397, 48399, 201244, 188246]",0,"[8117, 9783, 474275, 219328]",617
"[42363, 326635, 182210, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[68834, 113901, 208681, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[60604, 263565, 200451, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[235045, 50217, 374892, 190064]",1,"[69337, 9783, 474275, 219328]",309
"[68478, 256409, 208325, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[241784, 271000, 381631, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[96225, 291157, 236072, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[61526, 80571, 201373, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[203420, 229436, 343267, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[276261, 76275, 416108, 216122]",1,"[69337, 9783, 474275, 219328]",309
"[50451, 273691, 190298, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[26516, 298070, 166363, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[138200, 57536, 278047, 197383]",1,"[69337, 9783, 474275, 219328]",309
"[206371, 203028, 346218, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[285270, 178063, 425117, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[302606, 307937, 442453, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[294698, 213842, 434545, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[168924, 135086, 308771, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[304857, 56113, 444704, 195960]",1,"[69337, 9783, 474275, 219328]",309
"[88063, 325285, 227910, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[220501, 199141, 360348, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[156817, 193139, 296664, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[273095, 204019, 412942, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[19108, 12299, 158955, 152146]",0,"[8117, 9783, 474275, 219328]",617
"[8766, 83154, 148613, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[143280, 117949, 283127, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[79867, 105747, 219714, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[68846, 264783, 208693, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[261822, 74072, 401669, 213919]",1,"[69337, 9783, 474275, 219328]",309
"[152567, 144824, 292414, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[80915, 29522, 220762, 169369]",1,"[69337, 9783, 474275, 219328]",309
"[98395, 192298, 238242, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[177731, 113029, 317578, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[57963, 271139, 197810, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[267633, 83934, 407480, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[139877, 176361, 279724, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[107479, 68797, 247326, 208644]",1,"[69337, 9783, 474275, 219328]",309
"[331908, 135497, 471755, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[192992, 217513, 332839, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[62194, 152210, 202041, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[211467, 300316, 351314, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[195244, 24889, 335091, 164736]",1,"[69337, 9783, 474275, 219328]",309
"[182185, 129525, 322032, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[214728, 25810, 354575, 165657]",1,"[69337, 9783, 474275, 219328]",309
"[228910, 289704, 368757, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[149764, 91606, 289611, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[145445, 32588, 285292, 172435]",1,"[69337, 9783, 474275, 219328]",309
"[148465, 49830, 288312, 189677]",1,"[69337, 9783, 474275, 219328]",309
"[183714, 226488, 323561, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[12198, 147927, 152045, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[126988, 102079, 266835, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[140968, 201735, 280815, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[282730, 67574, 422577, 207421]",1,"[69337, 9783, 474275, 219328]",309
"[97745, 268909, 237592, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[112579, 305345, 252426, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[328041, 319176, 467888, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[46888, 222032, 186735, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[157621, 30468, 297468, 170315]",1,"[69337, 9783, 474275, 219328]",309
"[143412, 10837, 283259, 150684]",1,"[69337, 9783, 474275, 219328]",309
"[23868, 326248, 163715, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[91313, 180816, 231160, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[98285, 220211, 238132, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[130907, 313802, 270754, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[295758, 111888, 435605, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[24670, 292857, 164517, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[107455, 246081, 247302, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[294766, 243857, 434613, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[319099, 332692, 458946, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[183624, 189859, 323471, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[199596, 69475, 339443, 209322]",1,"[69337, 9783, 474275, 219328]",309
"[16871, 227683, 156718, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[198792, 105657, 338639, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[259719, 127679, 399566, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[209985, 322625, 349832, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[15870, 106784, 155717, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[330366, 267289, 470213, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[224848, 213797, 364695, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[92919, 88780, 232766, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[232965, 208014, 372812, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[241285, 120668, 381132, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[140603, 41235, 280450, 181082]",1,"[69337, 9783, 474275, 219328]",309
"[91100, 306191, 230947, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[9280, 165827, 149127, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[104891, 59887, 244738, 199734]",1,"[69337, 9783, 474275, 219328]",309
"[88974, 139341, 228821, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[100585, 216747, 240432, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[142653, 281590, 282500, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[228936, 176115, 368783, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[290434, 230595, 430281, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[265275, 251437, 405122, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[71014, 139611, 210861, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[325442, 173331, 465289, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[142863, 140473, 282710, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[157485, 204942, 297332, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[326842, 277523, 466689, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[20340, 270231, 160187, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[277465, 271374, 417312, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[114545, 229302, 254392, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[150855, 221332, 290702, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[27122, 19419, 166969, 159266]",0,"[8117, 9783, 474275, 219328]",617
"[225432, 299382, 365279, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[53018, 154001, 192865, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[21460, 23487, 161307, 163334]",0,"[8117, 9783, 474275, 219328]",617
"[266496, 212597, 406343, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[287838, 191450, 427685, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[296106, 255449, 435953, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[282804, 241375, 422651, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[299560, 257102, 439407, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[311241, 105119, 451088, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[315947, 21218, 455794, 161065]",1,"[69337, 9783, 474275, 219328]",309
"[326446, 194630, 466293, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[118347, 169525, 258194, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[233787, 43079, 373634, 182926]",1,"[69337, 9783, 474275, 219328]",309
"[123043, 59179, 262890, 199026]",1,"[69337, 9783, 474275, 219328]",309
"[94787, 326014, 234634, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[245701, 75600, 385548, 215447]",1,"[69337, 9783, 474275, 219328]",309
"[268744, 173607, 408591, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[238922, 89135, 378769, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[264357, 140429, 404204, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[265674, 186973, 405521, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[283343, 125596, 423190, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[31668, 197264, 171515, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[275866, 146425, 415713, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[214602, 288666, 354449, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[320154, 58550, 460001, 198397]",1,"[69337, 9783, 474275, 219328]",309
"[168925, 76136, 308772, 215983]",1,"[69337, 9783, 474275, 219328]",309
"[272309, 81338, 412156, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[84349, 41592, 224196, 181439]",1,"[69337, 9783, 474275, 219328]",309
"[186356, 110124, 326203, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[31328, 22261, 171175, 162108]",0,"[8117, 9783, 474275, 219328]",617
"[264826, 254988, 404673, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[48997, 308884, 188844, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[282604, 34615, 422451, 174462]",1,"[69337, 9783, 474275, 219328]",309
"[81142, 252673, 220989, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[303354, 79095, 443201, 218942]",1,"[69337, 9783, 474275, 219328]",309
"[303369, 143535, 443216, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[50558, 166696, 190405, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[195155, 76577, 335002, 216424]",1,"[69337, 9783, 474275, 219328]",309
"[253440, 202429, 393287, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[30534, 181045, 170381, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[62249, 60901, 202096, 200748]",0,"[8117, 9783, 474275, 219328]",617
"[65818, 168779, 205665, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[169780, 312266, 309627, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[199635, 102747, 339482, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[11844, 257181, 151691, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[220431, 220244, 360278, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[120287, 55999, 260134, 195846]",1,"[69337, 9783, 474275, 219328]",309
"[227144, 148003, 366991, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[263081, 234577, 402928, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[266486, 205653, 406333, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[84361, 233148, 224208, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[115956, 230457, 255803, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[108819, 148435, 248666, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[45712, 79866, 185559, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[251902, 176859, 391749, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[198370, 160880, 338217, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[243980, 188257, 383827, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[137113, 93192, 276960, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[249900, 74991, 389747, 214838]",1,"[69337, 9783, 474275, 219328]",309
"[186300, 122985, 326147, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[268803, 89040, 408650, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[58919, 289494, 198766, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[315485, 325071, 455332, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[241290, 174866, 381137, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[99444, 53982, 239291, 193829]",1,"[69337, 9783, 474275, 219328]",309
"[173850, 93667, 313697, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[150886, 194900, 290733, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[69266, 67073, 209113, 206920]",0,"[8117, 9783, 474275, 219328]",617
"[206738, 176969, 346585, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[179947, 170482, 319794, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[182851, 9783, 322698, 148752]",1,"[69337, 9783, 474275, 219328]",309
"[107324, 166674, 247171, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[105924, 97117, 245771, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[300552, 91496, 440399, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[257280, 134333, 397127, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[49724, 282674, 189571, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[144225, 63570, 284072, 203417]",1,"[69337, 9783, 474275, 219328]",309
"[34849, 206744, 174696, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[54909, 213150, 194756, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[251314, 262206, 391161, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[81943, 81861, 221790, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[38371, 67383, 178218, 207230]",0,"[8117, 9783, 474275, 219328]",617
"[87386, 70893, 227233, 210740]",1,"[69337, 9783, 474275, 219328]",309
"[219960, 326628, 359807, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[57354, 155605, 197201, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[51023, 310480, 190870, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[312524, 60372, 452371, 200219]",1,"[69337, 9783, 474275, 219328]",309
"[121837, 166520, 261684, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[219384, 98346, 359231, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[286546, 245413, 426393, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[148012, 185177, 287859, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[99648, 219762, 239495, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[144900, 101022, 284747, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[92968, 53034, 232815, 192881]",1,"[69337, 9783, 474275, 219328]",309
"[118962, 280810, 258809, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[195592, 247109, 335439, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[55719, 182187, 195566, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[278833, 230590, 418680, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[166601, 248586, 306448, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[37614, 81531, 177461, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[191168, 100054, 331015, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[269998, 126700, 409845, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[129309, 42290, 269156, 182137]",1,"[69337, 9783, 474275, 219328]",309
"[73994, 238790, 213841, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[235766, 60300, 375613, 200147]",1,"[69337, 9783, 474275, 219328]",309
"[197237, 125919, 337084, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[71597, 177126, 211444, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[78361, 112624, 218208, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[132301, 331569, 272148, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[295028, 172984, 434875, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[268468, 188194, 408315, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[317309, 260401, 457156, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[272517, 149645, 412364, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[163301, 17672, 303148, 157519]",1,"[69337, 9783, 474275, 219328]",309
"[334087, 102591, 473934, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[150507, 110725, 290354, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[270513, 295654, 410360, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[65866, 171580, 205713, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[238653, 99340, 378500, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[65621, 33569, 205468, 173416]",0,"[8117, 9783, 474275, 219328]",617
"[246835, 286076, 386682, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[285179, 302489, 425026, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[329329, 303187, 469176, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[294674, 205137, 434521, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[228229, 174578, 368076, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[326994, 185268, 466841, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[126993, 181588, 266840, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[267316, 84050, 407163, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[280554, 21775, 420401, 161622]",1,"[69337, 9783, 474275, 219328]",309
