,BBOX,Depth
259,"[0, 10, 4, 14]",4
260,"[0, 10, 2, 14]",5
261,"[0, 10, 2, 12]",6
262,"[0, 11, 2, 13]",6
263,"[0, 12, 2, 14]",6
264,"[1, 10, 3, 14]",5
265,"[1, 10, 3, 12]",6
266,"[1, 11, 3, 13]",6
267,"[1, 12, 3, 14]",6
268,"[2, 10, 4, 14]",5
269,"[2, 10, 4, 12]",6
270,"[2, 11, 4, 13]",6
271,"[2, 12, 4, 14]",6
272,"[0, 12, 4, 16]",4
273,"[0, 12, 2, 16]",5
274,"[0, 12, 2, 14]",6
275,"[0, 13, 2, 15]",6
276,"[0, 14, 2, 16]",6
277,"[1, 12, 3, 16]",5
278,"[1, 12, 3, 14]",6
279,"[1, 13, 3, 15]",6
280,"[1, 14, 3, 16]",6
281,"[2, 12, 4, 16]",5
282,"[2, 12, 4, 14]",6
283,"[2, 13, 4, 15]",6
284,"[2, 14, 4, 16]",6
285,"[2, 8, 6, 16]",3
286,"[2, 8, 6, 12]",4
287,"[2, 8, 4, 12]",5
288,"[2, 8, 4, 10]",6
289,"[2, 9, 4, 11]",6
290,"[2, 10, 4, 12]",6
291,"[3, 8, 5, 12]",5
292,"[3, 8, 5, 10]",6
293,"[3, 9, 5, 11]",6
294,"[3, 10, 5, 12]",6
295,"[4, 8, 6, 12]",5
296,"[4, 8, 6, 10]",6
297,"[4, 9, 6, 11]",6
298,"[4, 10, 6, 12]",6
299,"[2, 10, 6, 14]",4
300,"[2, 10, 4, 14]",5
301,"[2, 10, 4, 12]",6
302,"[2, 11, 4, 13]",6
303,"[2, 12, 4, 14]",6
304,"[3, 10, 5, 14]",5
305,"[3, 10, 5, 12]",6
306,"[3, 11, 5, 13]",6
307,"[3, 12, 5, 14]",6
308,"[4, 10, 6, 14]",5
309,"[4, 10, 6, 12]",6
310,"[4, 11, 6, 13]",6
311,"[4, 12, 6, 14]",6
312,"[2, 12, 6, 16]",4
313,"[2, 12, 4, 16]",5
314,"[2, 12, 4, 14]",6
315,"[2, 13, 4, 15]",6
316,"[2, 14, 4, 16]",6
317,"[3, 12, 5, 16]",5
318,"[3, 12, 5, 14]",6
319,"[3, 13, 5, 15]",6
320,"[3, 14, 5, 16]",6
321,"[4, 12, 6, 16]",5
322,"[4, 12, 6, 14]",6
323,"[4, 13, 6, 15]",6
324,"[4, 14, 6, 16]",6
325,"[4, 8, 8, 16]",3
326,"[4, 8, 8, 12]",4
327,"[4, 8, 6, 12]",5
328,"[4, 8, 6, 10]",6
329,"[4, 9, 6, 11]",6
330,"[4, 10, 6, 12]",6
331,"[5, 8, 7, 12]",5
332,"[5, 8, 7, 10]",6
333,"[5, 9, 7, 11]",6
334,"[5, 10, 7, 12]",6
335,"[6, 8, 8, 12]",5
336,"[6, 8, 8, 10]",6
337,"[6, 9, 8, 11]",6
338,"[6, 10, 8, 12]",6
339,"[4, 10, 8, 14]",4
340,"[4, 10, 6, 14]",5
341,"[4, 10, 6, 12]",6
342,"[4, 11, 6, 13]",6
343,"[4, 12, 6, 14]",6
344,"[5, 10, 7, 14]",5
345,"[5, 10, 7, 12]",6
346,"[5, 11, 7, 13]",6
347,"[5, 12, 7, 14]",6
348,"[6, 10, 8, 14]",5
349,"[6, 10, 8, 12]",6
350,"[6, 11, 8, 13]",6
351,"[6, 12, 8, 14]",6
352,"[4, 12, 8, 16]",4
353,"[4, 12, 6, 16]",5
