,BBOX,Depth,parent
105,"[5, 4, 7, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA180>, <__main__.DAGTree object at 0x0000021CEA5FA2A0>]"
106,"[6, 2, 8, 6]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9FD0>, <__main__.DAGTree object at 0x0000021CEA5FB890>]"
107,"[6, 2, 8, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA030>, <__main__.DAGTree object at 0x0000021CEA5FA1B0>]"
108,"[6, 3, 8, 5]",6,[<__main__.DAGTree object at 0x0000021CEA5FA1B0>]
109,"[6, 4, 8, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA1B0>, <__main__.DAGTree object at 0x0000021CEA5FA2D0>]"
110,"[4, 4, 8, 8]",4,"[<__main__.DAGTree object at 0x0000021CEA1FDDF0>, <__main__.DAGTree object at 0x0000021CEA5FA3F0>]"
111,"[4, 4, 6, 8]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9B50>, <__main__.DAGTree object at 0x0000021CEA5F9FA0>]"
112,"[4, 4, 6, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9D60>, <__main__.DAGTree object at 0x0000021CEA5F9E80>]"
113,"[4, 5, 6, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5F9E80>]
114,"[4, 6, 6, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9E80>, <__main__.DAGTree object at 0x0000021CEA5FA8A0>]"
115,"[5, 4, 7, 8]",5,[<__main__.DAGTree object at 0x0000021CEA5F9FA0>]
116,"[5, 4, 7, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA180>, <__main__.DAGTree object at 0x0000021CEA5FA2A0>]"
117,"[5, 5, 7, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5FA2A0>]
118,"[5, 6, 7, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA2A0>, <__main__.DAGTree object at 0x0000021CEA5FAB10>]"
119,"[6, 4, 8, 8]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9FA0>, <__main__.DAGTree object at 0x0000021CEA5FB860>]"
120,"[6, 4, 8, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA1B0>, <__main__.DAGTree object at 0x0000021CEA5FA2D0>]"
121,"[6, 5, 8, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5FA2D0>]
122,"[6, 6, 8, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA2D0>, <__main__.DAGTree object at 0x0000021CEA5FAB40>]"
123,"[0, 4, 8, 12]",2,[<__main__.DAGTree object at 0x0000021CEA565460>]
124,"[0, 4, 4, 12]",3,[<__main__.DAGTree object at 0x0000021CEA515700>]
125,"[0, 4, 4, 8]",4,"[<__main__.DAGTree object at 0x0000021CEA516360>, <__main__.DAGTree object at 0x0000021CEA5FA3C0>]"
126,"[0, 4, 2, 8]",5,[<__main__.DAGTree object at 0x0000021CEA4ED1C0>]
127,"[0, 4, 2, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9760>, <__main__.DAGTree object at 0x0000021CEA5F9910>]"
128,"[0, 5, 2, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5F9910>]
129,"[0, 6, 2, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9910>, <__main__.DAGTree object at 0x0000021CEA5FA4B0>]"
130,"[1, 4, 3, 8]",5,[<__main__.DAGTree object at 0x0000021CEA4ED1C0>]
131,"[1, 4, 3, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F97C0>, <__main__.DAGTree object at 0x0000021CEA5F9970>]"
132,"[1, 5, 3, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5F9970>]
133,"[1, 6, 3, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9970>, <__main__.DAGTree object at 0x0000021CEA5FA510>]"
134,"[2, 4, 4, 8]",5,"[<__main__.DAGTree object at 0x0000021CEA4ED1C0>, <__main__.DAGTree object at 0x0000021CEA5F9B50>]"
135,"[2, 4, 4, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9790>, <__main__.DAGTree object at 0x0000021CEA5F9940>]"
136,"[2, 5, 4, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5F9940>]
137,"[2, 6, 4, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9940>, <__main__.DAGTree object at 0x0000021CEA5FA4E0>]"
138,"[0, 6, 4, 10]",4,[<__main__.DAGTree object at 0x0000021CEA5FA3C0>]
139,"[0, 6, 2, 10]",5,[<__main__.DAGTree object at 0x0000021CEA5FA450>]
140,"[0, 6, 2, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9910>, <__main__.DAGTree object at 0x0000021CEA5FA4B0>]"
141,"[0, 7, 2, 9]",6,[<__main__.DAGTree object at 0x0000021CEA5FA4B0>]
142,"[0, 8, 2, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA4B0>, <__main__.DAGTree object at 0x0000021CEA5FA660>]"
143,"[1, 6, 3, 10]",5,[<__main__.DAGTree object at 0x0000021CEA5FA450>]
