SRC Query,Depth,BBoxes,Data Size
"[42.30389091075159, 91.1719050191696, 51.49705550379185, 92.58173232623719]",4,"[37, 75, 62, 99]",625
"[24.608108198693756, 21.29554506105092, 54.09466707048229, 23.813895347259702]",0,"[0, 0, 99, 99]",10000
"[55.06477685573916, 59.52929617350228, 68.99086487446543, 62.02547952926024]",4,"[50, 50, 75, 75]",625
"[68.99847205247261, 41.41798597157543, 71.88107306311073, 52.90341023333778]",5,"[62, 37, 75, 62]",313
"[37.09756652826958, 40.70577453900006, 38.72771836225545, 63.475672919575054]",3,"[25, 25, 50, 74]",1250
"[49.12345885751642, 15.095397236569386, 59.62116595461093, 17.686150098340537]",4,"[37, 0, 62, 25]",625
"[8.935866445628443, 3.0078809437317724, 14.491123295976678, 5.601554796225038]",6,"[6, 0, 18, 12]",156
"[2.5830988238070165, 46.58359094082566, 28.433188302661687, 48.61409990987024]",2,"[0, 0, 50, 50]",2500
"[57.44675503338194, 6.089091536856436, 66.75504204183446, 8.287355999124095]",6,"[56, 0, 68, 12]",156
"[82.62789338492202, 27.621970041094155, 92.80647254303247, 32.52368558689663]",6,"[81, 25, 93, 37]",156
"[36.79796623813702, 28.871961937953795, 46.54025905632627, 30.7747922494688]",4,"[25, 25, 50, 50]",625
"[61.28433543571854, 90.8687251381599, 67.69707554637543, 92.30107597869281]",6,"[56, 87, 68, 99]",156
"[81.28362704060865, 25.817258732801612, 91.30834674562544, 29.862287433100015]",6,"[81, 25, 93, 37]",156
"[7.211364993631811, 48.67158343819044, 27.680215590713154, 49.908666612091174]",2,"[0, 0, 50, 50]",2500
"[16.83037456603088, 27.11976069897272, 46.46301691350063, 28.22100132307485]",2,"[0, 0, 50, 50]",2500
"[14.173461128296353, 53.1499985453879, 29.059114147459205, 56.4592647340497]",4,"[12, 50, 37, 75]",625
"[40.00662012709785, 59.248358888834076, 45.98753682027323, 68.16397276580929]",5,"[37, 50, 50, 75]",313
"[94.17012926966173, 12.048487171345464, 96.04197276911916, 43.193256997339454]",3,"[75, 0, 99, 50]",1250
"[53.19846524796015, 63.50583422917179, 63.45801521315998, 64.79092345102191]",4,"[50, 50, 75, 75]",625
"[17.744460386188063, 83.15302267744124, 30.531658910624632, 86.5263996584508]",4,"[12, 75, 37, 99]",625
"[30.011962000179942, 62.95765527187811, 39.03297114779779, 66.45890994539133]",4,"[25, 50, 50, 75]",625
"[11.59732982006775, 40.72158713963605, 16.2858533435209, 51.36802759853056]",5,"[6, 37, 18, 62]",312
"[53.821310978658836, 54.93562252123996, 61.96285343807353, 57.60254410790187]",6,"[50, 50, 62, 62]",156
"[17.700636639444657, 78.39734432461381, 23.4103961689234, 81.5602142778135]",6,"[12, 75, 25, 87]",156
"[56.978391086752396, 36.43946289301312, 62.06630818857334, 49.98853117736549]",5,"[56, 25, 68, 50]",312
"[20.571687832909657, 56.61364698888258, 27.848590489188286, 58.05867740393334]",6,"[19, 50, 31, 62]",156
"[22.004883489856404, 1.1341827558308428, 23.57476609529938, 24.58326982238664]",5,"[12, 0, 25, 25]",313
"[4.047852497622642, 95.75614613466989, 19.241595330143483, 98.82085497027725]",4,"[0, 75, 25, 99]",625
"[2.12529166042566, 48.274064698179345, 7.916488365696903, 56.217322106419786]",5,"[0, 37, 12, 62]",312
"[54.993029593449556, 9.288195624743665, 73.90113713537846, 10.448226516173658]",4,"[50, 0, 75, 25]",625
"[43.83465371523829, 18.47299245243471, 61.71535787358226, 19.495866399654552]",4,"[37, 0, 62, 25]",625
"[14.857725271091391, 4.022740615701223, 21.032671902317112, 5.539524076218307]",6,"[12, 0, 25, 12]",156
"[37.00928905123295, 30.569092325260712, 42.3344331030842, 34.68241930125371]",7,"[37, 25, 43, 37]",78
"[31.35198312255121, 82.2041750483331, 71.83423016555938, 83.34713663693661]",2,"[25, 50, 74, 99]",2500
"[0.7459567640489928, 81.88846282433992, 9.552367943768372, 84.37308065847165]",6,"[0, 75, 12, 87]",156
"[61.18168509872774, 43.63069139395544, 80.7962136990411, 45.29994812457913]",2,"[50, 0, 99, 50]",2500
"[22.440819767173295, 56.08758464519185, 24.465740955546682, 57.56516816134986]",10,"[22, 56, 25, 59]",10
"[86.7305200304847, 63.4198408915798, 91.86900076946425, 73.97910489507989]",6,"[81, 62, 93, 75]",156
"[3.6218950525268694, 19.27274296733017, 4.661445086447215, 21.820919188131725]",9,"[3, 18, 6, 25]",20
"[5.3650495595289405, 21.79407831763635, 23.50051725492187, 23.38891472442817]",4,"[0, 0, 25, 25]",625
"[15.306163125773372, 62.37500080613111, 25.3858654257683, 64.20008126498848]",4,"[12, 50, 37, 75]",625
"[46.10731786442878, 3.759175547036605, 50.310355823437675, 18.836998982618596]",5,"[44, 0, 56, 25]",312
"[43.82856153444146, 24.012519187915192, 45.431420015001734, 41.71276251096962]",3,"[25, 0, 50, 50]",1250
"[22.62793165019237, 46.41751851431522, 26.28586277630128, 50.83195471068528]",8,"[21, 46, 27, 53]",39
"[60.83828833208394, 70.66667706492738, 90.65881547863042, 73.23117322846113]",2,"[50, 50, 99, 99]",2500
"[49.59016098158533, 47.912699418002035, 54.007187449107334, 53.60385249399451]",6,"[43, 43, 56, 56]",156
"[1.0232305568084452, 63.5039833866771, 26.358194926539753, 65.40842517981592]",2,"[0, 50, 50, 99]",2500
