SRC_random Query: Large,Depth,BBoxes,Data Size
"[5, 3, 9, 7]",2,"[4, 0, 12, 8]",64
"[11, 5, 15, 9]",2,"[8, 4, 16, 12]",64
"[11, 1, 15, 5]",2,"[8, 0, 16, 8]",64
"[3, 9, 7, 13]",2,"[0, 8, 8, 16]",64
"[3, 3, 7, 7]",2,"[0, 0, 8, 8]",64
"[12, 2, 16, 6]",4,"[12, 2, 16, 6]",16
"[12, 8, 16, 12]",4,"[12, 8, 16, 12]",16
"[7, 1, 11, 5]",2,"[4, 0, 12, 8]",64
"[1, 5, 5, 9]",2,"[0, 4, 8, 12]",64
"[8, 7, 12, 11]",3,"[8, 4, 12, 12]",32
"[1, 4, 5, 8]",2,"[0, 0, 8, 8]",64
"[8, 4, 12, 8]",4,"[8, 4, 12, 8]",16
"[11, 1, 15, 5]",2,"[8, 0, 16, 8]",64
"[8, 5, 12, 9]",3,"[8, 4, 12, 12]",32
"[8, 3, 12, 7]",3,"[8, 0, 12, 8]",32
"[12, 9, 16, 13]",3,"[12, 8, 16, 16]",32
"[8, 9, 12, 13]",3,"[8, 8, 12, 16]",32
"[4, 7, 8, 11]",3,"[4, 4, 8, 12]",32
"[1, 9, 5, 13]",2,"[0, 8, 8, 16]",64
"[12, 6, 16, 10]",4,"[12, 6, 16, 10]",16
"[5, 9, 9, 13]",2,"[4, 8, 12, 16]",64
"[3, 4, 7, 8]",2,"[0, 4, 8, 12]",64
"[2, 3, 6, 7]",3,"[2, 0, 6, 8]",32
"[2, 0, 6, 4]",4,"[2, 0, 6, 4]",16
"[9, 10, 13, 14]",2,"[8, 8, 16, 16]",64
"[4, 7, 8, 11]",3,"[4, 4, 8, 12]",32
"[1, 1, 5, 5]",2,"[0, 0, 8, 8]",64
"[10, 12, 14, 16]",4,"[10, 12, 14, 16]",16
"[2, 2, 6, 6]",4,"[2, 2, 6, 6]",16
"[0, 1, 4, 5]",3,"[0, 0, 4, 8]",32
"[11, 8, 15, 12]",2,"[8, 8, 16, 16]",64
"[10, 6, 14, 10]",4,"[10, 6, 14, 10]",16
"[11, 8, 15, 12]",2,"[8, 4, 16, 12]",64
"[4, 8, 8, 12]",4,"[4, 8, 8, 12]",16
"[12, 3, 16, 7]",3,"[12, 0, 16, 8]",32
"[3, 10, 7, 14]",2,"[0, 8, 8, 16]",64
"[9, 6, 13, 10]",2,"[8, 4, 16, 12]",64
"[9, 4, 13, 8]",2,"[8, 4, 16, 12]",64
"[7, 7, 11, 11]",2,"[4, 4, 12, 12]",64
"[10, 10, 14, 14]",4,"[10, 10, 14, 14]",16
"[11, 12, 15, 16]",2,"[8, 8, 16, 16]",64
"[5, 1, 9, 5]",2,"[4, 0, 12, 8]",64
"[5, 9, 9, 13]",2,"[4, 8, 12, 16]",64
"[1, 7, 5, 11]",2,"[0, 4, 8, 12]",64
"[9, 10, 13, 14]",2,"[8, 8, 16, 16]",64
"[5, 3, 9, 7]",2,"[4, 0, 12, 8]",64
"[3, 0, 7, 4]",2,"[0, 0, 8, 8]",64
"[11, 4, 15, 8]",2,"[8, 0, 16, 8]",64
"[1, 11, 5, 15]",2,"[0, 8, 8, 16]",64
"[3, 5, 7, 9]",2,"[0, 4, 8, 12]",64
"[12, 2, 16, 6]",4,"[12, 2, 16, 6]",16
"[5, 6, 9, 10]",2,"[4, 4, 12, 12]",64
"[0, 1, 4, 5]",3,"[0, 0, 4, 8]",32
"[12, 2, 16, 6]",4,"[12, 2, 16, 6]",16
"[11, 3, 15, 7]",2,"[8, 0, 16, 8]",64
"[0, 9, 4, 13]",3,"[0, 8, 4, 16]",32
"[10, 8, 14, 12]",4,"[10, 8, 14, 12]",16
"[9, 10, 13, 14]",2,"[8, 8, 16, 16]",64
"[1, 0, 5, 4]",2,"[0, 0, 8, 8]",64
"[1, 10, 5, 14]",2,"[0, 8, 8, 16]",64
"[3, 9, 7, 13]",2,"[0, 8, 8, 16]",64
"[9, 1, 13, 5]",2,"[8, 0, 16, 8]",64
"[6, 1, 10, 5]",3,"[6, 0, 10, 8]",32
"[5, 1, 9, 5]",2,"[4, 0, 12, 8]",64
"[0, 9, 4, 13]",3,"[0, 8, 4, 16]",32
"[0, 3, 4, 7]",3,"[0, 0, 4, 8]",32
"[2, 11, 6, 15]",3,"[2, 8, 6, 16]",32
"[1, 7, 5, 11]",2,"[0, 4, 8, 12]",64
"[3, 11, 7, 15]",2,"[0, 8, 8, 16]",64
