SRC_exhaustive Query: Medium,Depth,BBoxes,Data Size
"[7, 25, 19, 37]",2,"[0, 16, 32, 48]",1024
"[5, 23, 17, 35]",2,"[0, 16, 32, 48]",1024
"[7, 2, 19, 14]",2,"[0, 0, 32, 32]",1024
"[38, 1, 50, 13]",2,"[32, 0, 64, 32]",1024
"[12, 11, 24, 23]",4,"[8, 8, 24, 24]",256
"[45, 7, 57, 19]",2,"[32, 0, 64, 32]",1024
"[30, 13, 42, 25]",2,"[16, 0, 48, 32]",1024
"[46, 51, 58, 63]",2,"[32, 32, 64, 64]",1024
"[3, 43, 15, 55]",4,"[0, 40, 16, 56]",256
"[1, 34, 13, 46]",4,"[0, 32, 16, 48]",256
"[27, 39, 39, 51]",3,"[24, 32, 40, 64]",512
"[6, 16, 18, 28]",2,"[0, 0, 32, 32]",1024
"[4, 14, 16, 26]",3,"[0, 0, 16, 32]",512
"[4, 41, 16, 53]",4,"[0, 40, 16, 56]",256
"[19, 22, 31, 34]",3,"[16, 16, 32, 48]",512
"[27, 11, 39, 23]",4,"[24, 8, 40, 24]",256
"[3, 32, 15, 44]",4,"[0, 32, 16, 48]",256
"[29, 2, 41, 14]",2,"[16, 0, 48, 32]",1024
"[38, 6, 50, 18]",2,"[32, 0, 64, 32]",1024
"[44, 25, 56, 37]",4,"[40, 24, 56, 40]",256
"[12, 16, 24, 28]",4,"[8, 16, 24, 32]",256
"[22, 46, 34, 58]",2,"[16, 32, 48, 64]",1024
"[30, 36, 42, 48]",2,"[16, 16, 48, 48]",1024
"[10, 44, 22, 56]",4,"[8, 40, 24, 56]",256
"[43, 13, 55, 25]",3,"[40, 0, 56, 32]",512
"[49, 3, 61, 15]",4,"[48, 0, 64, 16]",256
"[50, 43, 62, 55]",4,"[48, 40, 64, 56]",256
"[10, 10, 22, 22]",4,"[8, 8, 24, 24]",256
"[21, 33, 33, 45]",2,"[16, 16, 48, 48]",1024
"[16, 7, 28, 19]",3,"[16, 0, 32, 32]",512
"[38, 28, 50, 40]",2,"[32, 16, 64, 48]",1024
"[42, 11, 54, 23]",4,"[40, 8, 56, 24]",256
"[0, 30, 12, 42]",3,"[0, 16, 16, 48]",512
"[43, 26, 55, 38]",4,"[40, 24, 56, 40]",256
"[36, 32, 48, 44]",4,"[32, 32, 48, 48]",256
"[19, 41, 31, 53]",4,"[16, 40, 32, 56]",256
"[22, 24, 34, 36]",2,"[16, 16, 48, 48]",1024
"[42, 16, 54, 28]",4,"[40, 16, 56, 32]",256
"[9, 35, 21, 47]",4,"[8, 32, 24, 48]",256
"[44, 0, 56, 12]",4,"[40, 0, 56, 16]",256
"[29, 47, 41, 59]",2,"[16, 32, 48, 64]",1024
"[5, 21, 17, 33]",2,"[0, 16, 32, 48]",1024
"[47, 2, 59, 14]",2,"[32, 0, 64, 32]",1024
"[34, 17, 46, 29]",4,"[32, 16, 48, 32]",256
"[8, 15, 20, 27]",3,"[8, 0, 24, 32]",512
"[48, 30, 60, 42]",3,"[48, 16, 64, 48]",512
"[22, 39, 34, 51]",2,"[16, 32, 48, 64]",1024
"[18, 43, 30, 55]",4,"[16, 40, 32, 56]",256
"[22, 37, 34, 49]",2,"[16, 32, 48, 64]",1024
"[40, 39, 52, 51]",3,"[40, 32, 56, 64]",512
"[8, 45, 20, 57]",3,"[8, 32, 24, 64]",512
"[19, 24, 31, 36]",4,"[16, 24, 32, 40]",256
"[47, 26, 59, 38]",2,"[32, 16, 64, 48]",1024
"[41, 5, 53, 17]",3,"[40, 0, 56, 32]",512
"[0, 38, 12, 50]",3,"[0, 32, 16, 64]",512
"[12, 44, 24, 56]",4,"[8, 40, 24, 56]",256
"[21, 10, 33, 22]",2,"[16, 0, 48, 32]",1024
"[15, 14, 27, 26]",2,"[0, 0, 32, 32]",1024
"[40, 28, 52, 40]",4,"[40, 24, 56, 40]",256
"[24, 45, 36, 57]",3,"[24, 32, 40, 64]",512
"[43, 36, 55, 48]",4,"[40, 32, 56, 48]",256
"[26, 2, 38, 14]",4,"[24, 0, 40, 16]",256
"[25, 44, 37, 56]",4,"[24, 40, 40, 56]",256
"[36, 26, 48, 38]",4,"[32, 24, 48, 40]",256
"[49, 42, 61, 54]",4,"[48, 40, 64, 56]",256
"[45, 2, 57, 14]",2,"[32, 0, 64, 32]",1024
"[10, 28, 22, 40]",4,"[8, 24, 24, 40]",256
"[4, 16, 16, 28]",4,"[0, 16, 16, 32]",256
"[44, 10, 56, 22]",4,"[40, 8, 56, 24]",256
"[28, 33, 40, 45]",4,"[24, 32, 40, 48]",256
"[31, 35, 43, 47]",2,"[16, 16, 48, 48]",1024
"[38, 48, 50, 60]",2,"[32, 32, 64, 64]",1024
"[0, 2, 12, 14]",4,"[0, 0, 16, 16]",256
"[31, 20, 43, 32]",2,"[16, 0, 48, 32]",1024
"[19, 29, 31, 41]",3,"[16, 16, 32, 48]",512
"[3, 51, 15, 63]",4,"[0, 48, 16, 64]",256
"[52, 51, 64, 63]",4,"[48, 48, 64, 64]",256
"[26, 12, 38, 24]",4,"[24, 8, 40, 24]",256
"[35, 40, 47, 52]",4,"[32, 40, 48, 56]",256
"[5, 46, 17, 58]",2,"[0, 32, 32, 64]",1024
"[8, 0, 20, 12]",4,"[8, 0, 24, 16]",256
"[25, 43, 37, 55]",4,"[24, 40, 40, 56]",256
"[26, 20, 38, 32]",4,"[24, 16, 40, 32]",256
"[0, 13, 12, 25]",3,"[0, 0, 16, 32]",512
"[0, 45, 12, 57]",3,"[0, 32, 16, 64]",512
"[48, 0, 60, 12]",4,"[48, 0, 64, 16]",256
"[52, 43, 64, 55]",4,"[48, 40, 64, 56]",256
"[33, 39, 45, 51]",3,"[32, 32, 48, 64]",512
"[6, 12, 18, 24]",2,"[0, 0, 32, 32]",1024
"[7, 38, 19, 50]",2,"[0, 32, 32, 64]",1024
"[41, 12, 53, 24]",4,"[40, 8, 56, 24]",256
"[19, 17, 31, 29]",4,"[16, 16, 32, 32]",256
"[44, 11, 56, 23]",4,"[40, 8, 56, 24]",256
"[6, 30, 18, 42]",2,"[0, 16, 32, 48]",1024
"[25, 40, 37, 52]",4,"[24, 40, 40, 56]",256
"[5, 1, 17, 13]",2,"[0, 0, 32, 32]",1024
"[17, 28, 29, 40]",4,"[16, 24, 32, 40]",256
"[51, 50, 63, 62]",4,"[48, 48, 64, 64]",256
"[7, 16, 19, 28]",2,"[0, 0, 32, 32]",1024
"[8, 41, 20, 53]",4,"[8, 40, 24, 56]",256
"[33, 52, 45, 64]",4,"[32, 48, 48, 64]",256
"[41, 41, 53, 53]",4,"[40, 40, 56, 56]",256
"[22, 7, 34, 19]",2,"[16, 0, 48, 32]",1024
"[9, 17, 21, 29]",4,"[8, 16, 24, 32]",256
"[1, 2, 13, 14]",4,"[0, 0, 16, 16]",256
"[2, 13, 14, 25]",3,"[0, 0, 16, 32]",512
"[43, 16, 55, 28]",4,"[40, 16, 56, 32]",256
"[35, 20, 47, 32]",4,"[32, 16, 48, 32]",256
"[23, 36, 35, 48]",2,"[16, 16, 48, 48]",1024
"[2, 47, 14, 59]",3,"[0, 32, 16, 64]",512
"[44, 38, 56, 50]",3,"[40, 32, 56, 64]",512
"[41, 31, 53, 43]",3,"[40, 16, 56, 48]",512
"[45, 41, 57, 53]",2,"[32, 32, 64, 64]",1024
"[29, 40, 41, 52]",2,"[16, 32, 48, 64]",1024
"[27, 23, 39, 35]",3,"[24, 16, 40, 48]",512
"[34, 11, 46, 23]",4,"[32, 8, 48, 24]",256
"[13, 24, 25, 36]",2,"[0, 16, 32, 48]",1024
"[37, 18, 49, 30]",2,"[32, 0, 64, 32]",1024
"[0, 8, 12, 20]",4,"[0, 8, 16, 24]",256
"[9, 17, 21, 29]",4,"[8, 16, 24, 32]",256
"[21, 21, 33, 33]",2,"[16, 16, 48, 48]",1024
"[50, 23, 62, 35]",3,"[48, 16, 64, 48]",512
"[45, 5, 57, 17]",2,"[32, 0, 64, 32]",1024
"[21, 49, 33, 61]",2,"[16, 32, 48, 64]",1024
"[39, 2, 51, 14]",2,"[32, 0, 64, 32]",1024
"[2, 17, 14, 29]",4,"[0, 16, 16, 32]",256
"[10, 9, 22, 21]",4,"[8, 8, 24, 24]",256
"[37, 18, 49, 30]",2,"[32, 0, 64, 32]",1024
"[23, 25, 35, 37]",2,"[16, 16, 48, 48]",1024
"[35, 8, 47, 20]",4,"[32, 8, 48, 24]",256
"[18, 7, 30, 19]",3,"[16, 0, 32, 32]",512
"[30, 46, 42, 58]",2,"[16, 32, 48, 64]",1024
"[15, 3, 27, 15]",2,"[0, 0, 32, 32]",1024
"[19, 11, 31, 23]",4,"[16, 8, 32, 24]",256
"[33, 46, 45, 58]",3,"[32, 32, 48, 64]",512
"[4, 19, 16, 31]",4,"[0, 16, 16, 32]",256
"[25, 21, 37, 33]",3,"[24, 16, 40, 48]",512
"[19, 26, 31, 38]",4,"[16, 24, 32, 40]",256
"[6, 6, 18, 18]",2,"[0, 0, 32, 32]",1024
"[35, 30, 47, 42]",3,"[32, 16, 48, 48]",512
"[30, 21, 42, 33]",2,"[16, 16, 48, 48]",1024
"[51, 51, 63, 63]",4,"[48, 48, 64, 64]",256
"[21, 7, 33, 19]",2,"[16, 0, 48, 32]",1024
"[30, 7, 42, 19]",2,"[16, 0, 48, 32]",1024
"[44, 31, 56, 43]",3,"[40, 16, 56, 48]",512
"[27, 2, 39, 14]",4,"[24, 0, 40, 16]",256
"[19, 21, 31, 33]",3,"[16, 16, 32, 48]",512
"[47, 43, 59, 55]",2,"[32, 32, 64, 64]",1024
"[9, 10, 21, 22]",4,"[8, 8, 24, 24]",256
"[40, 36, 52, 48]",4,"[40, 32, 56, 48]",256
"[24, 51, 36, 63]",4,"[24, 48, 40, 64]",256
"[40, 5, 52, 17]",3,"[40, 0, 56, 32]",512
"[4, 51, 16, 63]",4,"[0, 48, 16, 64]",256
"[5, 12, 17, 24]",2,"[0, 0, 32, 32]",1024
"[47, 14, 59, 26]",2,"[32, 0, 64, 32]",1024
"[3, 24, 15, 36]",4,"[0, 24, 16, 40]",256
"[0, 6, 12, 18]",3,"[0, 0, 16, 32]",512
"[25, 35, 37, 47]",4,"[24, 32, 40, 48]",256
"[33, 18, 45, 30]",4,"[32, 16, 48, 32]",256
"[28, 31, 40, 43]",3,"[24, 16, 40, 48]",512
"[50, 37, 62, 49]",3,"[48, 32, 64, 64]",512
"[45, 43, 57, 55]",2,"[32, 32, 64, 64]",1024
"[13, 27, 25, 39]",2,"[0, 16, 32, 48]",1024
"[5, 23, 17, 35]",2,"[0, 16, 32, 48]",1024
"[14, 16, 26, 28]",2,"[0, 0, 32, 32]",1024
"[37, 49, 49, 61]",2,"[32, 32, 64, 64]",1024
"[10, 27, 22, 39]",4,"[8, 24, 24, 40]",256
"[12, 22, 24, 34]",3,"[8, 16, 24, 48]",512
"[7, 4, 19, 16]",2,"[0, 0, 32, 32]",1024
"[52, 44, 64, 56]",4,"[48, 40, 64, 56]",256
"[1, 33, 13, 45]",4,"[0, 32, 16, 48]",256
"[28, 48, 40, 60]",4,"[24, 48, 40, 64]",256
"[43, 12, 55, 24]",4,"[40, 8, 56, 24]",256
"[7, 31, 19, 43]",2,"[0, 16, 32, 48]",1024
"[25, 16, 37, 28]",4,"[24, 16, 40, 32]",256
"[13, 41, 25, 53]",2,"[0, 32, 32, 64]",1024
"[2, 51, 14, 63]",4,"[0, 48, 16, 64]",256
"[13, 39, 25, 51]",2,"[0, 32, 32, 64]",1024
"[9, 6, 21, 18]",3,"[8, 0, 24, 32]",512
"[12, 29, 24, 41]",3,"[8, 16, 24, 48]",512
"[24, 23, 36, 35]",3,"[24, 16, 40, 48]",512
"[34, 52, 46, 64]",4,"[32, 48, 48, 64]",256
"[9, 6, 21, 18]",3,"[8, 0, 24, 32]",512
"[38, 31, 50, 43]",2,"[32, 16, 64, 48]",1024
"[9, 36, 21, 48]",4,"[8, 32, 24, 48]",256
"[25, 40, 37, 52]",4,"[24, 40, 40, 56]",256
"[43, 27, 55, 39]",4,"[40, 24, 56, 40]",256
"[33, 31, 45, 43]",3,"[32, 16, 48, 48]",512
"[43, 20, 55, 32]",4,"[40, 16, 56, 32]",256
"[31, 31, 43, 43]",2,"[16, 16, 48, 48]",1024
"[40, 42, 52, 54]",4,"[40, 40, 56, 56]",256
"[12, 34, 24, 46]",4,"[8, 32, 24, 48]",256
"[39, 14, 51, 26]",2,"[32, 0, 64, 32]",1024
"[0, 21, 12, 33]",3,"[0, 16, 16, 48]",512
"[45, 47, 57, 59]",2,"[32, 32, 64, 64]",1024
"[20, 52, 32, 64]",4,"[16, 48, 32, 64]",256
"[20, 2, 32, 14]",4,"[16, 0, 32, 16]",256
"[33, 9, 45, 21]",4,"[32, 8, 48, 24]",256
"[16, 38, 28, 50]",3,"[16, 32, 32, 64]",512
"[50, 9, 62, 21]",4,"[48, 8, 64, 24]",256
"[24, 37, 36, 49]",3,"[24, 32, 40, 64]",512
"[18, 45, 30, 57]",3,"[16, 32, 32, 64]",512
"[45, 51, 57, 63]",2,"[32, 32, 64, 64]",1024
"[30, 4, 42, 16]",2,"[16, 0, 48, 32]",1024
"[51, 5, 63, 17]",3,"[48, 0, 64, 32]",512
"[33, 2, 45, 14]",4,"[32, 0, 48, 16]",256
"[4, 14, 16, 26]",3,"[0, 0, 16, 32]",512
"[8, 2, 20, 14]",4,"[8, 0, 24, 16]",256
"[19, 0, 31, 12]",4,"[16, 0, 32, 16]",256
"[48, 28, 60, 40]",4,"[48, 24, 64, 40]",256
"[21, 10, 33, 22]",2,"[16, 0, 48, 32]",1024
"[51, 9, 63, 21]",4,"[48, 8, 64, 24]",256
"[41, 29, 53, 41]",3,"[40, 16, 56, 48]",512
"[23, 32, 35, 44]",2,"[16, 16, 48, 48]",1024
"[24, 33, 36, 45]",4,"[24, 32, 40, 48]",256
"[32, 2, 44, 14]",4,"[32, 0, 48, 16]",256
"[36, 5, 48, 17]",3,"[32, 0, 48, 32]",512
"[43, 50, 55, 62]",4,"[40, 48, 56, 64]",256
"[51, 33, 63, 45]",4,"[48, 32, 64, 48]",256
"[48, 38, 60, 50]",3,"[48, 32, 64, 64]",512
"[4, 47, 16, 59]",3,"[0, 32, 16, 64]",512
"[27, 48, 39, 60]",4,"[24, 48, 40, 64]",256
"[13, 18, 25, 30]",2,"[0, 0, 32, 32]",1024
"[34, 38, 46, 50]",3,"[32, 32, 48, 64]",512
"[26, 52, 38, 64]",4,"[24, 48, 40, 64]",256
"[30, 50, 42, 62]",2,"[16, 32, 48, 64]",1024
"[24, 38, 36, 50]",3,"[24, 32, 40, 64]",512
"[37, 14, 49, 26]",2,"[32, 0, 64, 32]",1024
"[51, 1, 63, 13]",4,"[48, 0, 64, 16]",256
"[42, 0, 54, 12]",4,"[40, 0, 56, 16]",256
"[47, 11, 59, 23]",2,"[32, 0, 64, 32]",1024
"[19, 32, 31, 44]",4,"[16, 32, 32, 48]",256
"[36, 16, 48, 28]",4,"[32, 16, 48, 32]",256
"[21, 4, 33, 16]",2,"[16, 0, 48, 32]",1024
"[31, 16, 43, 28]",2,"[16, 0, 48, 32]",1024
"[52, 19, 64, 31]",4,"[48, 16, 64, 32]",256
"[49, 26, 61, 38]",4,"[48, 24, 64, 40]",256
"[24, 51, 36, 63]",4,"[24, 48, 40, 64]",256
"[24, 3, 36, 15]",4,"[24, 0, 40, 16]",256
"[10, 41, 22, 53]",4,"[8, 40, 24, 56]",256
"[8, 15, 20, 27]",3,"[8, 0, 24, 32]",512
"[18, 46, 30, 58]",3,"[16, 32, 32, 64]",512
"[21, 3, 33, 15]",2,"[16, 0, 48, 32]",1024
"[2, 30, 14, 42]",3,"[0, 16, 16, 48]",512
"[26, 9, 38, 21]",4,"[24, 8, 40, 24]",256
"[31, 38, 43, 50]",2,"[16, 32, 48, 64]",1024
"[45, 5, 57, 17]",2,"[32, 0, 64, 32]",1024
"[43, 44, 55, 56]",4,"[40, 40, 56, 56]",256
"[9, 51, 21, 63]",4,"[8, 48, 24, 64]",256
"[22, 26, 34, 38]",2,"[16, 16, 48, 48]",1024
"[2, 39, 14, 51]",3,"[0, 32, 16, 64]",512
"[29, 24, 41, 36]",2,"[16, 16, 48, 48]",1024
"[29, 3, 41, 15]",2,"[16, 0, 48, 32]",1024
"[6, 30, 18, 42]",2,"[0, 16, 32, 48]",1024
"[49, 9, 61, 21]",4,"[48, 8, 64, 24]",256
"[1, 2, 13, 14]",4,"[0, 0, 16, 16]",256
"[38, 39, 50, 51]",2,"[32, 32, 64, 64]",1024
"[8, 40, 20, 52]",4,"[8, 40, 24, 56]",256
"[20, 6, 32, 18]",3,"[16, 0, 32, 32]",512
"[44, 35, 56, 47]",4,"[40, 32, 56, 48]",256
"[41, 22, 53, 34]",3,"[40, 16, 56, 48]",512
"[12, 24, 24, 36]",4,"[8, 24, 24, 40]",256
"[50, 49, 62, 61]",4,"[48, 48, 64, 64]",256
"[49, 31, 61, 43]",3,"[48, 16, 64, 48]",512
"[7, 3, 19, 15]",2,"[0, 0, 32, 32]",1024
"[39, 44, 51, 56]",2,"[32, 32, 64, 64]",1024
"[29, 39, 41, 51]",2,"[16, 32, 48, 64]",1024
"[40, 21, 52, 33]",3,"[40, 16, 56, 48]",512
"[41, 7, 53, 19]",3,"[40, 0, 56, 32]",512
"[43, 45, 55, 57]",3,"[40, 32, 56, 64]",512
"[39, 18, 51, 30]",2,"[32, 0, 64, 32]",1024
"[50, 8, 62, 20]",4,"[48, 8, 64, 24]",256
"[24, 51, 36, 63]",4,"[24, 48, 40, 64]",256
"[18, 47, 30, 59]",3,"[16, 32, 32, 64]",512
"[43, 51, 55, 63]",4,"[40, 48, 56, 64]",256
"[7, 33, 19, 45]",2,"[0, 16, 32, 48]",1024
"[50, 12, 62, 24]",4,"[48, 8, 64, 24]",256
"[2, 50, 14, 62]",4,"[0, 48, 16, 64]",256
"[25, 28, 37, 40]",4,"[24, 24, 40, 40]",256
"[23, 48, 35, 60]",2,"[16, 32, 48, 64]",1024
"[12, 29, 24, 41]",3,"[8, 16, 24, 48]",512
"[22, 50, 34, 62]",2,"[16, 32, 48, 64]",1024
"[40, 4, 52, 16]",4,"[40, 0, 56, 16]",256
"[2, 2, 14, 14]",4,"[0, 0, 16, 16]",256
"[31, 16, 43, 28]",2,"[16, 0, 48, 32]",1024
"[1, 33, 13, 45]",4,"[0, 32, 16, 48]",256
"[42, 36, 54, 48]",4,"[40, 32, 56, 48]",256
"[36, 13, 48, 25]",3,"[32, 0, 48, 32]",512
"[14, 5, 26, 17]",2,"[0, 0, 32, 32]",1024
"[49, 52, 61, 64]",4,"[48, 48, 64, 64]",256
"[40, 49, 52, 61]",4,"[40, 48, 56, 64]",256
"[32, 44, 44, 56]",4,"[32, 40, 48, 56]",256
"[33, 26, 45, 38]",4,"[32, 24, 48, 40]",256
"[32, 19, 44, 31]",4,"[32, 16, 48, 32]",256
"[7, 9, 19, 21]",2,"[0, 0, 32, 32]",1024
"[27, 36, 39, 48]",4,"[24, 32, 40, 48]",256
"[27, 5, 39, 17]",3,"[24, 0, 40, 32]",512
"[6, 26, 18, 38]",2,"[0, 16, 32, 48]",1024
"[4, 6, 16, 18]",3,"[0, 0, 16, 32]",512
"[26, 49, 38, 61]",4,"[24, 48, 40, 64]",256
"[9, 46, 21, 58]",3,"[8, 32, 24, 64]",512
"[1, 50, 13, 62]",4,"[0, 48, 16, 64]",256
"[28, 27, 40, 39]",4,"[24, 24, 40, 40]",256
"[43, 26, 55, 38]",4,"[40, 24, 56, 40]",256
"[1, 31, 13, 43]",3,"[0, 16, 16, 48]",512
"[20, 46, 32, 58]",3,"[16, 32, 32, 64]",512
"[16, 5, 28, 17]",3,"[16, 0, 32, 32]",512
"[22, 4, 34, 16]",2,"[16, 0, 48, 32]",1024
"[7, 22, 19, 34]",2,"[0, 16, 32, 48]",1024
"[44, 1, 56, 13]",4,"[40, 0, 56, 16]",256
"[22, 22, 34, 34]",2,"[16, 16, 48, 48]",1024
"[11, 0, 23, 12]",4,"[8, 0, 24, 16]",256
"[14, 52, 26, 64]",2,"[0, 32, 32, 64]",1024
"[23, 4, 35, 16]",2,"[16, 0, 48, 32]",1024
"[38, 9, 50, 21]",2,"[32, 0, 64, 32]",1024
"[13, 0, 25, 12]",2,"[0, 0, 32, 32]",1024
"[13, 42, 25, 54]",2,"[0, 32, 32, 64]",1024
"[43, 46, 55, 58]",3,"[40, 32, 56, 64]",512
"[7, 47, 19, 59]",2,"[0, 32, 32, 64]",1024
"[0, 18, 12, 30]",4,"[0, 16, 16, 32]",256
"[23, 44, 35, 56]",2,"[16, 32, 48, 64]",1024
"[1, 38, 13, 50]",3,"[0, 32, 16, 64]",512
"[14, 9, 26, 21]",2,"[0, 0, 32, 32]",1024
"[11, 29, 23, 41]",3,"[8, 16, 24, 48]",512
"[7, 30, 19, 42]",2,"[0, 16, 32, 48]",1024
"[22, 45, 34, 57]",2,"[16, 32, 48, 64]",1024
"[16, 8, 28, 20]",4,"[16, 8, 32, 24]",256
"[1, 13, 13, 25]",3,"[0, 0, 16, 32]",512
"[23, 21, 35, 33]",2,"[16, 16, 48, 48]",1024
"[30, 18, 42, 30]",2,"[16, 0, 48, 32]",1024
"[18, 35, 30, 47]",4,"[16, 32, 32, 48]",256
"[40, 20, 52, 32]",4,"[40, 16, 56, 32]",256
"[11, 37, 23, 49]",3,"[8, 32, 24, 64]",512
"[5, 6, 17, 18]",2,"[0, 0, 32, 32]",1024
